First Name,Last Name,BTN Code,End Team,Pos,GP,PPG,PPA,PPP,PPA1,PPA2,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,PPCorsi,PPRelC,PPQoC,PPRQoC,Raw Delta,Delta,Delta QS,Delta QO,Delta QT,Delta SOT
Luca,Sbisa,LUCASBISA,ANA,D,30,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,1,1,1,7.1,0.23,0.22,4.36,4.80%,0.00%,0.00%,0.00%,,, ,0,0,1,0,3,0,1,1,0,0,37.21,-42.5,-85.295,-6.417,0.1,-0.5,0.2,-0.1,0.1,-0.3
Lucas,Lessio,LUCASLESSIO,PHX,LW,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Luke,Adam,LUKEADAM,BUF,C/LW,12,0,0,0,0,0,0,0,0,0,0,1,0,0.00%,0.00%,0,0,0,2,6.8,0.55,0.56,5.21,9.70%,0.00%,0.00%,0.00%,0,0, ,1,0,0,1,1,0,1,4,0,0,35.47,-40.3,-83.624,-3.15,0.1,-0.5,0.2,0,0,-0.2
Luke,Gazdic,LUKEGAZDIC,EDM,LW,67,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,2.8,0.03,0.04,5.16,0.80%,0.00%,0.00%,0.00%,0,0, ,1,0,4,0,1,0,0,0,1,0,127.81,58.4,-81.382,-2.557,0.8,0.5,0.1,-0.1,0,0.5
Luke,Glendening,LUKEGLENDENING,DET,C/RW,56,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%,0,0,0,0,5.7,0.1,0.1,5.37,1.80%,0.00%,0.00%,0.00%,3,4,42.90%,0,0,3,0,0,0,1,1,0,0,31.49,-54.8,-85.113,-7.634,0.3,-0.3,0.3,0,0.1,0.1
Luke,Schenn,LUKESCHENN,PHI,D,79,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,2.1,0.02,0.03,5.61,0.50%,0.00%,0.00%,0.00%,,, ,0,0,2,3,0,0,0,0,0,0,-29.03,-121,-79.249,6.02,0.3,0.1,0.1,0,0,0.2
Magnus,Paajarvi,MAGNUSPAAJARVI-SVENSSON,STL,LW,55,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,1,9.4,0.17,0.17,5.32,3.10%,0.00%,0.00%,0.00%,0,0, ,0,0,5,0,1,0,0,6,0,0,76.46,-10,-73.368,-5.482,0.5,-0.3,0.2,0,0.1,0
Manny,Malhotra,MANNYMALHOTRA,CAR,C,69,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,1,0,1,5.1,0.07,0.07,4.91,1.40%,0.00%,0.00%,0.00%,5,3,62.50%,0,0,6,1,1,1,1,0,0,0,52.75,-31.5,-81.475,-0.543,0.4,0.1,0,0,0,0.2
Marc,Methot,MARCMETHOT,OTT,D,75,0,3,3,2,1,0,2,1,4.2,7,1,7,0.00%,0.00%,23,1,0,3,43.1,0.57,0.57,4.66,10.90%,0.00%,100.00%,100.00%,,, ,3,1,31,8,11,1,3,25,0,1,79.66,-6.7,-90.463,-6.175,2.8,-1.2,-0.2,-0.1,0.7,-0.8
Marc,Staal,MARCSTAAL,NYR,D,72,1,0,1,0,0,1,0,0,2.2,3,0,6,33.30%,11.10%,0,0,1,0,27.1,0.37,0.38,4.81,7.30%,50.00%,0.00%,50.00%,,, ,2,1,16,5,3,2,1,11,1,1,50.89,-41,-84.01,-0.215,1.2,-1.6,0.5,0,0,-1.1
Marc-Andre,Cliche,MARC-ANDRECLICHE,COL,C/RW,76,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,4.7,0.05,0.06,4.8,1.20%,0.00%,0.00%,0.00%,3,7,30.00%,0,0,1,2,0,0,0,2,0,0,13.04,-56.3,-82.53,-1.924,0.1,-0.3,0.3,0,0,0
Marc-Edouard,Vlasic,MARC-EDOUARDVLASIC,SJS,D,81,0,1,1,1,0,0,1,0,1.1,8,4,7,0.00%,0.00%,16,0,1,2,56.8,0.7,0.69,4.89,12.40%,0.00%,25.00%,25.00%,,, ,4,0,59,5,21,1,3,20,1,0,102,-0.9,-82.413,-2.416,8,2.8,0.5,-0.4,-0.7,2.2
Marcel,Goc,MARCELGOC,PIT,C,74,0,2,2,1,1,0,1,1,2,9,0,2,0.00%,0.00%,19,0,2,4,60.1,0.8,0.77,5.11,13.10%,0.00%,100.00%,100.00%,44,39,53.00%,2,2,35,8,17,5,1,17,1,0,57.66,-15.1,-84.52,-2.565,3.2,-2.3,0.4,-0.1,1.1,-0.8
Marco,Scandella,MARCOSCANDELLA,MIN,D,76,0,0,0,0,0,0,0,0,0,0,2,4,0.00%,0.00%,0,1,0,0,19.9,0.25,0.26,4.68,5.30%,0.00%,0.00%,0.00%,,, ,2,0,10,1,7,1,1,5,1,0,63.48,-12.2,-75.312,-0.137,1.1,-0.8,0.3,0.1,0,-0.3
Marcus,Foligno,MARCUSFOLIGNO,BUF,LW,74,0,1,1,0,1,0,0,1,0.7,2,6,2,0.00%,0.00%,0,0,5,6,81.9,1.1,1.09,3.97,21.50%,0.00%,33.30%,33.30%,17,13,56.70%,3,2,58,10,22,2,0,32,2,0,75.06,-1.6,-80.635,1.493,7.2,-0.3,0.6,-0.4,-0.1,-0.2
Marcus,Johansson,MARCUSJOHANSSON,WSH,C,80,6,15,21,10,5,5,10,5,5.2,26,6,3,23.10%,17.10%,62,1,3,19,240.2,3,2.95,2.39,55.20%,12.80%,38.50%,51.30%,6,11,35.30%,39,4,204,33,101,9,5,91,0,1,97.57,12.2,-100.361,-11.767,25.4,3.1,-0.5,0.3,-2.8,0
Marcus,Kruger,MARCUSKRUGER,CHI,C,81,0,0,0,0,0,0,0,0,0,0,0,1,0.00%,0.00%,0,0,0,0,9.2,0.1,0.11,4.87,2.20%,0.00%,0.00%,0.00%,7,4,63.60%,0,0,4,1,3,1,0,3,0,0,52.27,-34.3,-81.907,-0.883,0.5,-0.2,0.4,0.1,0.1,0.3
Marek,Zidlicky,MAREKZIDLICKY,NJD,D,81,8,10,18,4,6,7,2,5,4.7,39,17,26,20.50%,9.80%,25,4,3,6,232.1,2.85,2.77,2.16,56.20%,28.00%,40.00%,68.00%,,, ,25,1,130,35,56,10,6,77,1,1,63.17,3.5,-79.327,1.433,17.8,-3.4,-0.9,-0.6,2.8,-2.1
Marian,Gaborik,MARIANGABORIK,LAK,RW/LW,41,1,6,7,3,3,1,3,3,3.6,17,10,7,5.90%,2.90%,24,0,0,4,116.5,2.83,2.77,2.62,51.40%,8.30%,50.00%,58.30%,0,1,0.00%,12,2,84,4,44,5,5,38,0,0,85.58,-13.2,-88.467,-12.683,11.8,1,0.1,-0.6,0,0.5
Marian,Hossa,MARIANHOSSA,CHI,RW,72,4,9,13,5,3,3,4,2,4.9,40,9,13,10.00%,6.50%,32,1,2,9,159.9,2.22,2.04,2.94,41.00%,15.80%,42.10%,57.90%,0,0, ,19,0,104,18,39,4,2,48,2,1,75.88,-10.4,-84.843,6.03,10.9,-2.2,1,-0.4,2.3,0.7
Mark,Arcobello,MARKARCOBELLO,EDM,C/RW,41,1,2,3,0,2,0,0,2,3.9,7,1,1,14.30%,11.10%,0,0,0,0,46.5,1.12,1.11,4.61,19.40%,0.00%,66.70%,66.70%,15,17,46.90%,3,2,36,2,6,2,0,16,0,0,72.77,-5.3,-81.417,-1.513,4.1,-0.1,0.4,0,0.6,0.9
Mark,Barberio,MARKBARBERIO,TBL,D,49,1,0,1,0,0,1,0,0,4.1,2,0,1,50.00%,33.30%,0,0,0,0,14.5,0.28,0.3,4.63,6.10%,100.00%,0.00%,100.00%,,, ,1,0,3,2,4,0,1,5,1,0,41.28,-23.7,-82.071,-2.494,0.7,-0.6,0,0,0.2,-0.3
Mark,Borowiecki,MARKBOROWIECKI,OTT,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.4,0.02,0.03,5.98,0.50%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0,-84.9,-81.215,-0.499,0,0,0,0,0,0
Mark,Cundari,MARKCUNDARI,CGY,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.7,0.18,0.18,3.6,4.80%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0,-83.3,-80.656,-1.131,0,-0.1,0,0,0,-0.1
Mark,Fayne,MARKFAYNE,NJD,D,72,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,3.2,0.03,0.04,4.78,0.80%,0.00%,0.00%,0.00%,,, ,0,0,1,1,0,0,1,1,0,0,0,-63,-73.602,9.276,0.2,-0.3,0.1,0,0.1,-0.2
