First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Brenden,Dillon,SJS,D,76,0,0,0,0,0,0,0,0,1,0,0,1,0.0%,0.0%,8,11,1,2,2,4559,1.00,72.2,0.95,278.1,3.66,20.6%,0,0, ,3,2,5,61,0,23,1,27,7,51,12.1%,0.8,1,0,-43.2,4.0,-1.1
Shane,Doan,ARI,RW/LW,72,0,0,0,0,0,0,0,2,1,1,2,0,0.0%,0.0%,1,5,1,0,6,3073,0.71,48.9,0.68,392.7,5.45,11.1%,2,2,50.0%,0,5,7,27,5,15,1,18,7,36,16.3%,2.9,0,0,-22.1,22.7,16.3
Max,Domi,ARI,LW/C,81,0,1,1,0,0,1,0,3,0,0,3,0,0.0%,0.0%,0,0,1,2,1,1129,0.23,17.1,0.21,470.1,5.80,3.5%,1,0,100.0%,1,2,4,10,1,5,2,7,5,17,22.7%,11.1,1,3,-21.1,14.3,7.8
Joonas,Donskoi,SJS,RW/LW,76,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,311,0.07,3.5,0.05,347.3,4.57,1.0%,0,0, ,0,0,1,4,0,1,0,4,0,5,0.0%,-10.5,0,0,0.0,100.0,95.4
Derek,Dorsett,VAN,RW/LW,71,0,1,1,0,1,0,7,3,0,0,3,1,0.0%,0.0%,5,1,3,0,1,3353,0.79,50.3,0.71,297.9,4.20,14.4%,2,2,50.0%,1,5,6,37,0,8,4,21,9,30,23.1%,13.8,2,2,-31.0,22.2,18.9
Drew,Doughty,LAK,D,82,1,1,2,1,0,1,0,3,1,1,1,0,33.3%,50.0%,19,11,6,19,0,14468,2.94,234.1,2.85,219.9,2.68,51.6%,0,0, ,1,30,20,179,6,87,7,77,24,194,11.0%,-1.6,3,3,-51.0,3.7,-7.1
Nic,Dowd,LAK,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,1,139,0.46,2.9,0.58,25.7,5.13,10.1%,0,1,0.0%,0,0,1,0,0,0,0,0,1,0,100.0%,93.1,0,0,20.8,,
Steve,Downie,ARI,RW/LW,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,159.5,6.13,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,1,0,0.0,,
Leon,Draisaitl,EDM,C/LW,72,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,1,0,239,0.06,2.7,0.04,375.6,5.22,0.7%,3,4,42.9%,0,1,0,0,1,1,0,0,0,0,0.0%,,0,1,-22.4,66.7,61.8
Jonathan,Drouin,TBL,LW/C,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,29,0.02,0.4,0.02,110.9,5.28,0.3%,0,0, ,0,0,0,1,0,0,0,0,0,1,0.0%,-11.0,0,0,-60.0,,
