"","name","Nat","AGE","cap_hit","Ht","Wt","DftYr","DftRd","Ovrl","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ly_salary","ly_cap_hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars"
"70","Joseph Blandisi","CAN",23,680000,72,200,2012,6,162,27,-10,-0.5,26,1,2,-6.5,16.8,12.3,71,715000,648333,2,2,1,4,66.7,4.6,970,51.4,53.3,49.1,2.5,2.1,9,42,31,19,0,1,1,43.6,35,20,2,6,6,72,45.6,263,272,201,217,42,33,1,4,3,5,2709,1.62,86.2,13.2,86.7,-7,0,0,0,33,0.06,0,21.9,0,-1.8,0,0,41,1,10,11,522.7,-8.5,4,2,6,83,0,0,1.7,1
"72","Matt Nieto","USA",24,1e+06,71,190,2011,2,47,59,-12,1.1,8,0,1,3.3,29.7,38.2,83,735000,735000,7,5,1,12,85.7,4,962,55.2,50.6,52.1,3.5,7.8,26,118,100,77,5,9,14,47.6,37,52,17,25,26,1,0,677,625,493,479,76,86,0,0,0,0,1975,0.6,72.9,4.1,94.7,13.5,0,1,1,5904,1.65,6.8,95.1,6.7,-3.8,3,8,205,24,32,56,2568.6,12.9,2,7,9,128.3,15,1,175.1,2
"74","Reid Boucher","USA",23,687500,70,195,2011,4,99,39,-6,-5.3,8,0,0,3.8,20.1,20.9,42,715000,715000,5,4,2,9,81.8,5.9,983,50.8,57.2,47,0.1,5,19,88,72,56,3,3,6,61.3,18,25,5,17,10,0,0,338,380,256,306,41,71,1,0,0,1,3589,1.54,98.8,8,92.5,4.7,0,0,0,111,0.06,0,123.2,0,-8.2,0,1,73,9,12,21,832.3,3.7,2,4,6,94,0,0,0.6,3
"77","Austin Watson","USA",25,1100000,76,204,2010,1,18,77,14,-1.6,99,0,0,-13.1,28.1,43.3,321,575000,575000,5,11,7,16,66.7,7.2,1023,45.4,55.4,45.1,-5.9,7.3,22,144,106,84,8,10,18,176.2,136,94,11,22,50,14,41.2,604,738,449,512,74,83,0,0,0,0,604,0.17,63.8,13.7,82.4,-5.3,0,1,1,7954,1.72,6.3,91.4,6.5,-7.2,2,11,57,3,7,10,506.3,-8.9,0,0,0,1.8,4,0,37.8,3
"78","Viktor Arvidsson","SWE",24,4250000,69,180,2014,4,112,80,16,2.7,28,1,6,7.8,71.4,58.6,96,640000,631667,22,23,12,45,74.4,9.4,1011,67.3,53.5,55.7,8.1,17,54,335,276,201,12,26,38,239.6,20,142,22,28,33,3,27.3,1212,965,928,758,154,141,4,5,0,9,9562,1.95,92,12,88.4,-1.2,5,2,7,5110,1.09,21.2,83.1,20.3,13.8,4,8,62,7,8,15,728.8,3.8,1,0,1,17,3,0,4.1,14
"79","Jordan Martinook","CAN",24,1800000,72,202,2012,2,58,77,-8,-10.6,40,0,2,-5.9,44.6,72,158,625000,612500,9,11,8,20,58.8,7.4,998,51.3,59.6,46.2,0.1,10.4,38,173,139,92,10,7,17,196.4,47,78,17,32,48,368,45.2,832,964,641,725,119,160,1,1,0,2,1748,0.41,67.2,13.4,83.4,-5.6,1,2,3,10319,2.15,14.6,105.6,12.2,0.9,7,19,89,8,14,22,1043.6,13,0,1,1,25.8,17,2,221.8,3
"80","Tomas Tatar","SVK",26,5300000,70,185,2009,2,60,82,-8,3.1,26,0,5,1.3,67.5,51.2,142,2750000,2750000,20,18,9,38,71.7,10.3,1008,50,48.5,50.8,5,14.8,52,235,176,127,11,13,24,164,89,84,31,32,23,7,70,970,940,727,724,142,144,5,3,2,8,11670,2.3,79.2,13.7,85.2,-4.2,0,0,0,231,0.08,0,93.2,0,-10.7,0,0,236,51,49,100,2925.7,44.8,18,22,40,554.1,0,0,1,9
"81","Tyler Gaudet","CAN",24,650000,75,205,2011,10,266,4,0,-0.8,0,0,0,0,0.7,3.2,4,874125,874125,0,1,1,1,100,12.5,1082,27.4,69.1,28.4,-20.5,0.3,1,8,5,2,1,0,1,19,3,1,0,0,1,12,42.9,19,48,13,37,2,5,0,0,0,0,0,0,0,0,0,-83.3,0,0,0,544,2.23,13.6,135.5,9.1,-2,0,0,16,1,2,3,139.3,-65.8,0,0,0,0.3,1,1,16.7,0
"82","Ryan Dzingel","USA",25,1800000,72,187,2011,7,204,81,7,1.6,30,0,1,5.4,54.2,47,124,750000,750000,12,16,12,28,68.3,8.1,1011,56.5,58.8,49,1.6,12.3,54,168,132,102,12,6,18,281.9,68,78,23,20,19,9,34.6,962,1001,697,736,155,137,1,2,1,3,6493,1.37,79.8,8.8,90.1,2.8,1,0,1,882,0.21,19.4,57.7,25.2,8.7,1,0,30,3,6,9,307.3,-10.9,0,0,0,1,0,0,3.3,6
"83","Garnet Hathaway","USA",25,650000,74,208,2010,10,266,26,0,-1.2,44,0,0,-4,8,9.4,118,722500,690000,1,4,1,5,71.4,9.3,1015,44.2,55.6,44.3,-3.9,2.4,10,36,28,19,3,1,4,24.1,56,27,3,8,13,9,50,172,216,119,157,28,31,0,0,0,0,76,0.08,0,0,0,-93.4,0,0,0,116,0.09,51.2,51.2,50,35.4,0,0,14,0,2,2,154.9,-0.4,0,0,0,1.9,5,0,9.1,0
"85","Marcus Sorensen","SWE",25,7e+05,71,175,2010,4,106,19,-1,2.8,4,0,1,0,8.7,9.1,25,0,0,1,3,1,4,80,5.2,983,57.6,54.5,51.4,1.6,2,8,42,31,26,2,3,5,37,15,24,11,9,6,2,100,184,175,137,121,32,25,0,0,0,0,122,0.15,42.6,0,100,18.2,0,0,0,725,0.64,0,93.5,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"86","Gabriel Bourque","CAN",26,750000,70,206,2009,5,132,6,0,-1.1,0,0,0,0,1.6,4.1,23,8e+05,8e+05,0,0,0,0,0,5.3,1003,38.4,60.1,39,-4.5,0.3,1,7,4,2,0,1,1,0,17,3,0,0,5,0,0,35,53,24,34,6,8,0,0,0,0,0,0.05,0,0,0,-76.9,0,0,0,794,2.18,9.3,129.6,6.7,-20.4,1,1,165,13,29,42,1874.7,-1,0,1,1,55.3,16,5,179.5,0
"88","Martin Frk","CZE",23,650000,73,194,2012,2,49,2,-3,-0.2,0,0,0,-1,0.2,0.5,4,650000,639167,0,0,0,0,0,0,700,40.2,47.5,45.8,-4.5,0.1,0,3,2,1,0,0,0,0,3,2,1,0,1,0,0,11,13,6,12,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Frederick Gaudreau","CAN",24,666666,72,179,2011,10,266,9,1,0.2,0,0,0,1,3.6,2.5,6,595000,595000,0,1,0,1,25,8.6,1009,61.6,63,49.4,-4.6,0.8,3,12,9,8,2,1,3,0,1,5,1,1,5,4,36.4,80,80,58,52,11,6,0,0,0,0,25,0.08,0,0,0,-66.7,0,0,0,68,0.13,50.3,50.3,50,37.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Austin Czarnik","USA",24,675000,69,160,2011,10,266,49,-10,2.7,12,0,1,5,26.7,19.4,56,842500,817500,5,5,2,10,83.3,5.1,958,56.4,47,54.5,2.9,4.5,13,86,70,49,3,2,5,76.3,19,26,6,12,17,53,45.1,461,382,344,271,49,51,0,3,3,3,5145,1.75,100.5,10.5,90.5,2.2,0,0,0,3320,1.15,10.5,68.4,13.3,-2.4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"91","Jean-Gabriel Pageau","CAN",24,3100000,70,180,2011,4,96,82,13,2.9,24,0,2,6,50.7,65.5,264,1100000,9e+05,12,19,7,31,79.5,8,1014,51.2,59.3,46.3,-2.2,15.7,50,214,190,139,18,11,29,162.8,145,121,24,18,54,466,55.6,910,1050,673,745,138,146,0,0,0,0,1718,0.38,51,5.9,89.7,4.5,0,2,2,10712,2.15,21.8,92.8,19,9.3,6,20,160,21,30,51,1922.9,0.4,1,1,2,72.8,31,19,309,11
"94","Jonny Brodzinski","USA",24,650000,73,218,2013,5,148,6,2,2.5,2,0,0,0,4.5,2.3,16,925000,808750,0,2,1,2,66.7,7.5,1075,63.8,41.8,60.4,12.4,1.4,4,26,19,14,2,0,2,24.8,9,11,1,2,3,0,0,74,48,58,36,14,10,0,0,0,0,112,0.36,134.1,0,100,14.3,0,0,0,3,0.13,0,0,0,-15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"95","Curtis Lazar","CAN",22,950000,72,209,2013,1,17,37,-8,-1.9,4,0,0,6,10.1,13.8,87,832500,894167,1,3,0,4,66.7,4.9,947,40,60.1,40,-8.6,2.3,9,46,34,25,4,5,9,0,66,42,6,7,15,39,39.8,214,323,158,228,32,41,0,0,0,0,234,0.12,30,0,100,13.2,0,0,0,656,0.31,10.5,42.6,19.8,5.6,0,1,143,10,19,29,1696.8,-12.9,1,1,2,71.6,18,7,132.2,0
"96","Michael Bournival","CAN",25,650000,71,198,2010,3,71,19,-3,0.7,2,0,0,-1,8.9,6.3,41,575000,575000,2,1,0,3,100,3.4,960,54.3,51.8,51.2,2.1,2.7,7,46,39,25,2,2,4,0,31,26,3,6,8,1,33.3,169,162,131,119,17,12,0,0,0,0,136,0.15,115.1,0,100,10.5,0,0,0,0,0.04,0,0,0,-17.5,0,0,89,9,7,16,787.2,-17.7,1,2,3,16.4,2,4,44,0
"97","Ondrej Palat","CZE",26,5300000,72,188,2011,7,208,75,8,-0.4,39,0,3,7.3,70.9,57.6,247,4e+06,3333333,12,25,9,37,82.2,8.3,1007,57.8,51.7,52.8,4.8,11.8,38,215,162,122,15,11,26,202.5,122,112,34,45,42,9,22.6,1010,904,755,707,136,118,5,10,4,15,12485,2.68,97.9,12.8,88.4,-3,0,0,0,7691,1.72,7.4,98.8,7,-3.5,9,21,218,43,81,124,2949.1,19.1,7,22,29,460.9,43,19,376,8
"98","Liam O'Brien","CAN",22,650000,73,215,2013,10,266,1,0,0.5,0,0,0,0,0.5,0.1,1,630000,621667,0,0,0,0,0,0,1000,90,68.5,56.8,3.7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9,7,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,2,98.1,7.7,0,0,0,0,0,0,0,0
"99","Taylor Leier","CAN",23,806558,70,174,2012,4,117,10,-1,0.8,4,0,0,0,2.4,3.2,11,768150,779617,1,1,0,2,100,6.9,993,41.8,49.6,45.8,-1.1,0.7,2,14,10,7,1,0,1,0,7,17,0,2,0,0,0,61,72,41,55,7,7,0,0,0,0,10,0.04,0,0,0,-100,0,0,0,194,0.33,17.8,71,20,9.7,0,0,6,0,0,0,45.3,-27.8,0,0,0,0,0,0,0.3,0
"100","Micheal Ferland","CAN",25,1750000,74,208,2010,5,133,76,-1,-1.4,50,0,1,-0.5,37.9,36.1,231,9e+05,825000,13,8,5,21,67.7,8.1,1003,53,53.9,49.6,1.7,9.8,35,160,133,98,6,16,22,117.7,146,49,37,34,25,3,42.9,735,746,531,573,110,122,2,2,0,4,2127,0.51,95.8,14.1,87.2,-1.9,0,0,0,162,0.07,0,82.4,0,-16.1,0,0,71,3,13,16,813.1,-2.7,1,1,2,71.3,0,1,7.8,1
"101","Michael Chaput","CAN",25,687500,74,204,2010,3,89,68,-12,-5.7,29,0,0,-5.9,22.9,32.5,127,6e+05,6e+05,4,5,2,9,60,4.6,975,50,56.5,46.9,1.3,6.5,28,108,78,62,9,4,13,79,68,49,14,10,28,197,52.7,592,668,440,502,77,85,0,0,0,0,357,0.16,19.3,12.8,60,-26.7,0,0,0,1968,0.5,6.9,95.4,6.8,-2.3,3,1,58,2,6,8,523.8,-56.7,0,0,0,3.8,8,0,35.5,1
"104","Josh Archibald","CAN",24,675000,70,176,2011,6,174,10,3,-0.6,4,0,0,0,5.8,6,34,667500,659167,2,0,0,2,40,11.1,1055,50.8,61.5,45.3,-1.7,1.7,5,23,19,10,1,1,2,0,28,13,2,0,2,0,0,87,106,66,76,18,22,0,0,0,0,12,0.06,0,0,0,-84.6,1,0,1,304,0.53,22.3,100.4,18.2,5.7,0,0,1,0,0,0,5.6,-64.2,0,0,0,0,0,0,0,1
"106","Andrew Copp","USA",23,1e+06,73,206,2013,4,104,64,8,6.8,18,0,1,-4,29.5,30.9,133,925000,925000,8,8,5,16,68.1,7.7,1016,49.9,52.3,48.8,1.7,7.5,28,106,85,65,4,6,10,117.6,83,62,12,14,17,71,53.1,562,588,418,416,92,60,0,0,0,0,552,0.2,67.9,4.8,93.3,6.9,1,0,1,5577,1.47,11.5,91,11.2,0,6,11,78,7,7,14,561.2,-4.9,0,0,0,3.5,6,3,62.5,3
"107","Gemel Smith","CAN",23,650000,70,190,2012,4,104,17,-1,-1.2,21,0,0,0,11.4,11.7,34,670000,645000,2,3,1,5,100,4.7,968,54.2,60.6,47.2,0,2,7,26,22,17,3,1,4,46,6,21,4,4,5,24,41.5,184,204,139,139,32,33,0,0,0,0,69,0.11,61.3,35.2,63.5,-18.5,1,0,1,1305,1.26,11.3,98.9,10.2,-5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"108","Scott Laughton","CAN",23,962500,73,190,2012,1,20,2,0,1.4,0,0,0,0,1.5,0.7,3,832500,863333,0,0,0,0,0,11.1,778,67.3,29.8,69.3,16.2,0.7,3,5,4,4,1,1,2,0,3,2,0,1,0,11,55,23,10,19,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,9,17,26,1043.6,-15.8,0,1,1,15.4,5,1,70.5,0
"109","Zack Mitchell","CAN",24,660000,73,184,2011,10,266,11,-1,-0.6,0,0,0,0,2,2.8,17,640000,615000,0,0,0,0,0,0,976,43.4,56.9,43.3,-7.9,0.8,2,14,14,10,1,0,1,0,14,10,1,2,3,11,57.9,66,87,47,66,5,7,0,0,0,0,37,0.1,0,0,0,-89.5,0,0,0,0,0.01,0,0,0,-7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Tyler Johnson","USA",26,5e+06,68,183,2009,10,266,66,-5,-3.5,28,1,3,2,60.5,53.2,104,4e+06,3333333,13,15,5,28,80,8.3,1002,53.1,54.3,49.4,0.9,9.4,33,166,133,85,5,11,16,110.8,43,49,23,20,23,429,51.3,775,792,586,610,107,110,6,11,6,17,11339,2.73,95.9,11.9,88.9,-2.9,0,0,0,8121,2.09,7.2,92.2,7.2,-3.9,5,5,228,46,68,114,3063.2,18,16,24,40,547.3,25,5,338.4,9
"111","Radek Faksa","CZE",23,2200000,75,210,2012,1,13,80,-6,0.2,67,0,0,-2.7,58.3,67.6,233,832500,863333,12,19,10,31,78.5,7.5,983,58.8,54.3,52,2.7,14.7,50,223,182,119,15,13,28,262.8,96,117,30,32,42,479,49.3,1038,962,764,695,172,151,0,2,2,2,2592,0.57,78.5,16.1,83,-4.5,0,0,0,9414,1.91,13.2,104.5,11.2,0.1,8,15,45,5,6,11,471.6,8.7,0,1,1,3.4,8,5,60.3,2
"112","Chris Tierney","CAN",23,735000,73,195,2012,2,55,80,0,1.1,6,0,2,15.1,45.1,58.3,100,7e+05,711667,9,11,7,20,58.8,7.7,999,53.4,54.1,49.7,-0.3,10.3,40,130,100,76,9,7,16,180.6,47,53,50,31,34,337,48.9,883,890,627,633,137,141,1,0,0,1,1313,0.34,55.8,19.3,74.3,-12.8,1,1,2,8592,1.84,15.2,105.6,12.6,3.3,8,10,122,10,25,35,1374.1,-11.1,2,3,5,43.8,9,1,126.5,5
"113","Brandon Tanev","CAN",25,7e+05,72,180,2010,10,266,51,-6,-4.2,26,0,1,5.9,13,27.9,187,874125,874125,2,2,0,4,57.1,4.7,987,40,53.4,42.8,-4.4,3.7,13,79,65,51,4,5,9,0,119,64,7,14,17,1,0,306,402,217,287,40,60,0,0,0,0,37,0.08,0,7.9,0,-87,0,0,0,5120,1.65,7.9,113.7,6.5,-2.5,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"114","Yohann Auvitu","FRA",27,7e+05,71,191,2008,10,266,25,1,0.1,2,0,0,1.3,16.1,14.2,31,792500,792500,2,1,1,3,25,7.1,1020,50.8,50.4,50.2,5.2,1.1,0,70,53,42,0,5,5,23.4,17,12,12,7,9,0,0,282,282,217,228,26,36,0,1,0,1,3141,2.09,78.5,15,84,-7,0,0,0,0,0.09,0,0,0,-3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"115","Johan Larsson","SWE",24,1475000,71,200,2010,2,56,36,-7,-2.3,20,0,2,-4.8,22.7,30.2,76,950000,950000,5,5,2,10,50,8.1,996,49.3,57.8,46,-0.6,5.7,25,84,66,44,2,12,14,43.6,32,46,15,9,17,247,48.8,434,511,334,401,69,63,1,0,0,1,1014,0.53,63,21.6,74.5,-14.3,0,0,0,2653,1.18,5.7,127.7,4.3,-4.8,3,4,141,14,15,29,1830.4,-30.1,2,6,8,119.1,4,1,59.7,1
"116","Jussi Jokinen","FIN",34,1100000,71,198,2001,6,192,69,-15,-1.2,39,0,2,-3.1,55.3,51.1,101,4e+06,4e+06,6,11,6,17,65.4,5.3,968,59.4,52.4,53.1,5.9,6.8,20,147,115,89,6,4,10,207,27,34,44,16,25,45,47.8,896,787,670,625,97,109,4,6,3,10,10207,2.39,96.7,12.7,88.4,-1.6,1,0,1,5627,1.37,13.3,67.9,16.3,-0.4,7,6,243,33,84,117,3117.6,19,13,29,42,558.8,31,4,309.2,1
"117","Dennis Rasmussen","SWE",27,725000,75,205,2008,10,266,68,-4,1.3,12,0,0,-0.2,25.8,36.5,122,575000,575000,4,4,4,8,48.5,5.1,984,53.1,55.7,48.8,-0.1,6,20,109,88,74,4,8,12,144.5,55,120,12,21,40,143,45.4,594,626,424,414,77,87,0,0,0,0,167,0.06,15.9,0,100,19.4,0,0,0,7195,1.74,5.6,103.1,5.2,-3.6,4,9,44,4,5,9,416.7,-1.2,0,0,0,2.2,0,0,1.9,0
"118","Kurtis Gabriel","CAN",24,715000,76,211,2013,3,81,13,0,-0.6,29,0,0,-3,2.1,3,61,725000,666667,0,1,0,1,50,9.3,1050,32.6,67.6,32.6,-13.6,0.3,1,6,5,3,0,0,0,0,26,14,3,0,1,0,0,41,84,32,68,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,-11.1,0,0,3,0,0,0,14.1,-29.7,0,0,0,0,0,0,0,0
"119","Joseph Labate","USA",24,650000,77,210,2011,4,101,13,-2,-1.3,21,0,0,-3,2.3,3.2,49,680000,680000,0,0,0,0,0,6.3,971,46.1,60.3,43.3,-3.4,0.5,1,13,9,5,0,2,2,0,23,10,1,3,2,1,100,67,89,46,66,8,7,0,0,0,0,12,0.08,0,0,0,-86.2,0,0,0,0,0.01,0,0,0,-7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Brett Ritchie","CAN",24,1750000,75,215,2011,2,44,78,11,4.1,38,0,2,-3.4,50.2,34.5,216,875000,875000,15,7,3,22,64.7,8.3,1030,58.8,56.4,51,1.6,14.1,51,277,212,151,8,17,25,75.8,150,76,22,15,23,0,0,859,825,613,574,127,103,1,1,1,2,7384,1.59,87.3,13.7,86.4,0.3,0,0,0,32,0.03,0,14.1,0,-10.9,0,0,39,6,3,9,445.8,7.8,0,1,1,80.6,0,0,0.1,3
"122","Teemu Pulkkinen","FIN",25,7e+05,70,185,2010,4,111,13,-2,-0.9,6,0,0,0.1,4.7,5.4,13,812500,812500,2,0,0,2,33.3,12.8,994,47.6,58.4,44.9,-1.3,0.9,5,16,14,10,0,1,1,0,4,11,6,2,3,0,0,91,111,70,77,13,19,0,0,0,0,534,0.71,103.4,12.9,88.9,-11.1,0,0,0,0,0.05,0,0,0,-8.1,0,0,70,9,6,15,634.8,55.3,2,3,5,145.2,0,0,0.5,0
"123","Emerson Etem","USA",24,850000,73,212,2010,1,29,3,1,-0.7,2,0,0,-1,0.3,1.1,6,775000,775000,0,0,0,0,0,20,1200,25.7,48.4,34.7,-10.2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,11,20,7,15,1,2,0,0,0,0,68,0.38,52.8,52.8,50,-37.5,0,0,0,56,0.33,0,235.3,0,-10,0,0,132,17,17,34,1566.7,-6.8,1,0,1,34.8,8,0,59,0
"124","Nick Shore","USA",24,925000,73,201,2011,3,82,70,-2,4.2,20,0,1,-1.8,32.9,33.6,100,6e+05,6e+05,5,11,5,16,66.7,6.7,987,55.7,47.4,54,3.7,8.3,33,152,112,74,8,13,21,148.6,55,66,13,10,14,330,51.5,716,608,523,466,98,80,0,0,0,0,1261,0.36,65.7,9.4,87.5,-2.4,1,0,1,5457,1.31,13,88.4,12.8,-0.6,1,8,102,4,10,14,1110.7,28.8,0,3,3,28.2,4,5,77.8,1
"125","Connor McDavid","CAN",20,12500000,73,200,2015,1,1,82,27,24.2,26,1,6,34.7,115.7,69.7,89,925000,925000,26,45,29,71,91.6,10.7,1030,60.1,53.1,53.1,6.3,23.8,103,300,251,190,15,13,28,497.1,31,104,39,59,20,325,43.4,1331,1178,1006,853,276,181,3,24,9,27,14933,2.87,108.5,11.8,90.2,-2.9,1,1,2,3949,0.84,8.6,89.4,8.8,-2.4,8,6,45,13,21,34,633.2,4.1,3,11,14,131.8,0,1,32.7,26
"126","Zach Hyman","CAN",25,2250000,73,210,2010,5,123,82,2,4.4,30,0,3,7.7,63,83.8,182,9e+05,9e+05,6,18,12,24,54.5,7.3,996,62.4,58.5,51.6,1.9,14.9,54,197,176,134,9,14,23,310.6,97,0,18,28,24,4,33.3,1139,1063,850,809,196,172,0,0,0,0,830,0.18,70.8,8.1,89.7,7.8,4,0,4,13722,2.77,12.9,116.7,9.9,-1,13,18,16,4,2,6,203.2,13,0,0,0,3.7,1,2,24.7,3
"127","Alex Galchenyuk","USA",23,4900000,73,210,2012,1,3,61,-5,-4.3,24,5,6,-2.3,51.9,41.8,92,3100000,2800000,11,18,10,29,85.3,8.3,1001,58.7,58.6,50.1,0.7,7.9,29,146,106,73,8,13,21,230,33,74,27,12,31,231,41.9,782,780,572,583,125,120,6,9,4,15,8337,2.2,78,13.9,84.9,2.9,0,0,0,132,0.07,0,42.5,0,-15,0,0,227,48,47,95,2979.1,3.2,15,23,38,508.1,0,0,4.7,9
"128","Matthew Peca","CAN",24,650000,68,178,2011,7,201,10,-3,-2.6,2,0,0,-0.9,2.6,3.7,13,925000,796250,1,1,1,2,100,4.6,984,52.8,49.4,51.7,1.9,0.7,2,22,15,9,0,1,1,45.8,9,14,2,0,2,31,44.8,90,85,59,68,4,9,0,0,0,0,551,0.94,44.2,12.6,77.8,-7.2,0,0,0,6,0.06,0,0,0,-4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Jesper Fast","SWE",25,1850000,72,190,2010,6,157,68,6,-1,16,0,1,-1.1,32.6,42.2,159,1e+06,950000,6,15,10,21,65.6,9.2,1012,50.3,54,48.3,0.5,7.3,31,96,78,53,5,3,8,210.3,93,91,20,23,31,10,64.3,674,727,496,528,110,114,0,0,0,0,408,0.17,22,7.3,75,-17.6,0,0,0,6427,1.57,15.8,83.4,15.9,-1.6,5,7,148,16,27,43,1681.8,13.3,0,1,1,22.4,27,9,246.8,0
"130","Tim Schaller","USA",26,775000,74,219,2009,10,266,59,-6,0.7,23,0,2,-5.8,28.9,27.3,135,6e+05,6e+05,7,7,6,14,77.8,5.9,982,55.1,56.6,49.3,-1.7,7.7,23,144,118,79,7,6,13,193.5,71,77,17,13,36,21,51.2,579,593,429,434,74,74,0,0,0,0,1565,0.49,88.3,4,95.7,6.7,0,0,0,3986,1.17,12,71.6,14.4,-1.1,6,2,35,1,3,4,301.6,-35.3,0,0,0,0.7,1,1,39.8,3
"132","Andre Burakovsky","SWE",22,3e+06,75,205,2013,1,23,64,13,0,14,0,1,-1.7,39.3,33.4,70,832500,894167,10,20,9,30,88.2,8.7,1026,63.8,51.3,55.4,8,8.4,25,194,123,94,7,18,25,208.3,30,73,27,32,24,2,28.6,786,636,540,496,95,100,2,3,0,5,5602,1.52,92.7,11.5,89,0.2,0,0,0,14,0.02,21.7,0,100,89.7,0,0,132,24,29,53,1559.2,14,2,5,7,119.4,0,0,0,6
"133","Oscar Lindberg","SWE",25,1700000,73,202,2010,2,57,65,2,-6.2,32,0,1,-8.9,24.4,30.6,162,7e+05,650000,8,11,7,19,73.1,8.8,1016,50.5,55.8,47.5,0.1,6.8,25,146,112,83,4,4,8,155.1,90,55,12,10,35,284,52,575,636,421,487,82,108,0,1,0,1,368,0.14,14.7,22,40,-49.3,0,0,0,529,0.15,17.7,94.2,15.8,1.7,0,1,69,12,13,25,748.5,22.6,1,2,3,49.6,3,1,18.5,2
"134","David Desharnais","CAN",30,1e+06,67,176,2005,10,266,49,4,-2.5,12,0,1,-1.4,22.4,25.6,32,3500000,3500000,6,6,2,12,54.5,8.4,1021,53,53.5,49.7,-0.1,4.9,23,67,53,45,5,6,11,44.7,5,31,11,19,15,159,53,491,494,347,356,72,86,0,2,0,2,2929,1.02,50.6,11.9,81,-11.2,0,0,0,60,0.03,0,29.9,0,-5.2,0,0,226,33,65,98,3187.5,7.1,8,23,31,552.3,0,0,13.7,2
"135","Nail Yakupov","RUS",23,875000,71,195,2012,1,1,40,-3,3.3,14,0,0,1.1,16.1,12.4,54,2500000,2500000,3,6,3,9,56.3,8.2,991,51.2,48.4,51.4,4.3,3.5,11,66,52,34,2,3,5,66.2,32,31,3,11,8,0,0,352,331,265,242,47,36,0,0,0,0,675,0.29,51.4,15.4,76.9,-4.2,0,0,0,10,0.05,0,15.7,0,-10.7,0,0,204,23,35,58,2584,-20.9,10,12,22,382.4,0,0,1.8,1
"136","Devante Smith-Pelly","CAN",25,650000,72,214,2010,2,42,53,-19,-7.9,12,0,0,1.8,23.8,33.7,138,1250000,1300000,4,3,0,7,77.8,4,961,41.1,59.5,40.8,-5.2,5.8,21,96,85,65,3,1,4,0,87,49,12,15,24,18,43.9,402,581,314,439,53,68,0,2,2,2,3576,1.25,72.9,13.5,84.4,-1.4,0,0,0,3908,1.27,2.6,101.2,2.5,-5.6,2,5,157,21,30,51,1824.6,-27.5,0,2,2,124.1,9,7,96.9,1
"138","Ales Hemsky","CZE",33,1e+06,72,185,2001,1,13,15,-1,3.3,0,0,0,0.3,11.1,8.3,5,4e+06,4e+06,3,2,2,5,100,6,997,53.9,51.7,51.1,1.8,1.9,7,41,32,24,1,4,5,67,1,13,4,9,3,0,0,167,159,118,120,32,24,1,1,1,2,1386,1.49,92.5,13.6,87.2,-1.1,0,0,0,82,0.11,0,73.5,0,-29.2,0,1,226,33,55,88,2716.3,13.9,4,22,26,427,2,1,13.8,2
