"","name","Nat","AGE","cap_hit","Ht","Wt","DftYr","DftRd","Ovrl","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ly_salary","ly_cap_hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars"
"38","Connor Brown","CAN",23,2100000,72,185,2012,6,156,82,3,-1.7,10,0,4,9,61.9,66.3,106,650000,686667,17,12,7,29,65.9,8.7,1010,58.9,58.9,50,-0.2,12.6,44,209,165,112,8,16,24,161.8,44,78,19,25,30,0,0,1018,1012,739,780,153,156,2,4,2,6,6060,1.25,83.5,14.6,85.1,-0.7,1,0,1,9819,2.02,11.6,92,11.2,1.3,9,11,7,0,1,1,70.1,6.8,1,3,4,25.2,0,0,2.9,5
"39","Matt Hendricks","USA",36,7e+05,72,209,2000,5,131,42,-3,-1.7,29,0,1,-3.1,12.5,21,148,1850000,1850000,4,3,0,7,58.3,7.6,993,45.4,55.2,45.1,-4,3.1,11,54,45,38,2,4,6,0,77,43,8,7,30,112,60.9,289,352,209,233,34,38,0,0,0,0,194,0.1,0,0,0,-90.4,0,0,0,3804,1.51,13.2,102.8,11.4,-0.1,3,8,216,15,15,30,2255.6,-37.3,0,1,1,36.9,70,18,507.5,2
"40","Drew Stafford","USA",31,8e+05,74,214,2004,1,13,58,6,-2.3,24,0,3,-9.1,35.2,30.6,89,4350000,4350000,5,12,8,17,63,8.7,1028,50.4,53.8,48.3,0,7,24,130,108,90,5,6,11,170.1,60,41,27,11,2,7,31.6,579,618,429,471,96,94,3,1,1,4,4599,1.33,101.6,12.1,89.4,1.2,0,0,0,702,0.24,8.3,74.6,10,-1.8,1,1,224,41,44,85,3134.8,-30.7,12,13,25,491.5,9,10,209.7,3
"42","Jean-Sebastien Dea","CAN",23,650000,71,175,2012,10,266,1,0,-0.2,2,0,0,0,0.2,0.4,5,575000,593333,0,0,0,0,0,0,1000,48.9,58.5,45.5,-3.9,0.1,0,3,2,1,0,0,0,0,3,2,0,0,0,1,50,9,11,5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Zemgus Girgensons","LVA",23,1600000,74,200,2012,1,14,75,-7,-0.5,18,0,0,7,32.2,48.8,164,1150000,1150000,7,9,8,16,76.2,5.4,989,47.8,54.2,46.9,-0.8,9.2,31,174,136,103,7,12,19,267.6,119,105,16,14,22,267,47.4,705,798,533,617,89,100,0,0,0,0,315,0.14,30.1,22.5,57.1,-29.5,0,0,0,5188,1.15,10.4,124.3,7.7,-2.1,2,4,202,24,34,58,2719.4,-43.9,2,4,6,199.4,30,13,328.2,1
"44","Leon Draisaitl","DEU",21,8500000,73,216,2014,1,3,82,7,12.2,20,3,5,8.8,101.9,66.1,97,925000,925000,19,31,16,50,83.3,9.8,1008,57,54,51.3,3.8,12.7,54,180,144,103,9,10,19,301.5,38,79,60,61,33,386,48.7,1132,1074,852,791,216,184,10,17,11,27,14309,2.8,109.9,12.2,90,-3,0,0,0,2076,0.47,4.6,87.5,5,-8.2,3,1,109,15,34,49,1443.2,10.3,6,5,11,247.2,0,0,3.7,13
"45","Matt Cullen","USA",40,1e+06,73,200,1996,2,35,72,4,3.3,30,0,2,-1.9,42.3,58.3,93,1e+06,1e+06,9,16,8,25,86.2,7.9,992,51.2,55.5,48,-2.4,10.6,42,118,94,70,16,6,22,182.5,31,71,23,14,17,353,54.2,662,714,501,506,131,110,2,2,1,4,1625,0.42,72.6,14.2,83.7,0.8,2,0,2,10060,2.28,12.6,107,10.5,-8.6,5,9,221,29,48,77,2580.5,7.8,1,12,13,222.2,12,7,285,2
"46","Brendan Gaunce","CAN",23,750000,74,217,2012,1,26,57,-2,-0.5,33,0,0,-5,17.8,22.6,140,832500,863333,0,5,2,5,47.6,4.5,984,51.6,49.1,51.3,5.2,3.5,10,76,62,49,4,3,7,82.9,91,33,6,11,11,77,49,439,417,322,318,49,57,0,0,0,0,228,0.11,40.6,20.3,66.7,-20.2,0,0,0,1640,0.5,13.5,95.2,12.4,3.7,0,1,20,1,0,1,219.5,-1.6,0,0,0,6.2,0,2,20.4,0
"47","Stephen Gionta","USA",33,650000,67,175,2002,10,266,26,9,-2.6,2,0,0,4,7.7,14.8,65,575000,575000,1,5,5,6,42.9,13.1,1084,44.8,55.2,44.8,-4.1,1.1,6,24,17,14,0,0,0,67.5,54,25,5,5,5,43,47.7,188,230,137,176,23,35,0,0,0,0,167,0.14,48.2,0,100,18.8,0,0,0,2031,1.32,10.4,89.6,10.4,-3.1,0,2,209,9,23,32,2187.7,-14.6,0,0,0,12.1,34,9,380.4,0
"48","Barclay Goodrow","CAN",24,650000,74,215,2011,10,266,3,0,-1.1,0,0,0,1,0.3,1.5,4,635000,626667,0,1,0,1,0,0,1000,35,61.5,36.3,-13.5,0.2,0,6,4,3,0,0,0,0,3,2,1,1,1,0,0,19,33,11,23,0,3,0,0,0,0,5,0.14,0,0,0,-100,0,0,0,73,0.5,0,39.8,0,0,0,0,74,4,9,13,753,-15.3,0,0,0,16.8,3,0,38.4,0
