"","cap_hit","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP.","ev_SH.","ev_PDO","ev_F.60","ev_A.60","ev_Pct.","ev_RelPct.","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO.","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI.GP","pp_F.60","pp_A.60","pp_Pct.","pp_RelPct.","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F.60","pk_A.60","pk_Pct.","pk_RelPct.","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars","position"
"53",850000,51,10,2.5,26,0,0,-3.4,26.6,32.4,154,2,6,2,8,28.1,8.3,1022,52.5,58.7,47.2,-0.6,1.4,0,94,57,39,3,3,6,43,67,97,15,9,55,0,0,616,694,465,527,81,82,0,0,0,0,116,0.11,18.1,0,100,6.9,0,0,0,2933,0.98,10.2,96.7,9.5,3.4,0,3,67,2,12,14,926.6,-45.6,0,1,1,7.7,9,2,64.3,0,"D"
"54",725000,65,3,-1.9,15,0,0,-1.6,27.6,30.1,94,1,13,7,14,51.9,8,1013,54.2,57.5,48.5,1.5,2.4,5,117,67,49,3,6,9,162.2,36,70,29,10,42,0,0,631,669,460,494,85,94,0,0,0,0,118,0.03,37.4,0,100,11.8,0,0,0,128,0.05,0,39.3,0,-7.8,0,0,88,3,6,9,1131.1,11.7,2,0,2,67.6,0,0,12.5,0,"D"
"55",650000,9,2,0.4,15,0,0,-1.5,4.4,5.3,45,1,0,0,1,25,8.6,1049,47.6,52.7,47.4,5.3,0.2,0,11,8,3,0,0,0,0,15,6,0,0,9,0,0,89,99,73,72,12,9,0,0,0,0,0,0,0,0,0,-100,0,0,0,550,1.05,6.2,74.9,7.7,-9,0,2,41,0,3,3,532.4,-27.5,0,0,0,0.6,5,6,29.4,0,"D"
"56",650000,3,-1,-0.5,0,0,0,0.3,3.1,3.4,4,0,0,0,0,0,8.5,974,58.2,72.6,44.5,-5.5,0,0,5,3,2,0,0,0,0,0,3,1,1,2,0,0,41,50,33,42,11,10,0,0,0,0,342,1.98,99.6,0,100,12,0,0,0,0,0.09,0,0,0,-16.7,0,0,139,7,13,20,1907.6,1.8,4,10,14,270.7,7,1,74.5,0,"D"
"57",5500000,78,27,12.5,34,0,1,1.3,98.4,62.7,217,9,22,7,31,43.7,9.7,1023,58.1,55.1,51.3,1.9,5.4,12,215,147,112,1,5,6,125.9,65,155,30,19,101,0,0,1276,1213,965,861,230,187,3,17,7,20,12946,2.68,98.5,13.7,87.8,3.6,0,0,0,322,0.11,31,46.4,40,26.2,1,1,218,18,32,50,3898.3,-16.4,3,29,32,608.3,26,2,145.6,6,"D"
"58",650000,17,-4,-0.5,8,0,0,0.2,8.5,8.8,56,0,1,1,1,25,3.5,963,57.2,50.4,53.2,2.2,0.7,1,38,29,18,0,1,1,59,28,30,7,1,16,0,0,235,208,169,148,16,23,0,0,0,0,42,0.08,31.7,0,100,10.2,0,0,0,827,0.88,7.8,82.2,8.7,-15.7,0,2,48,2,4,6,703.1,-5.1,0,2,2,33.5,3,2,16.8,0,"D"
"59",650000,57,-18,-12.8,23,0,0,-2.3,29.9,42.3,133,4,8,3,12,66.7,5.2,969,50.1,57.2,46.7,-0.8,2.1,2,122,76,56,0,3,3,110.5,44,50,15,5,52,0,100,667,762,489,591,61,103,0,0,0,0,3164,0.96,68,4.3,94,6.5,0,0,0,4840,1.43,12.5,71.1,15,4.8,0,4,161,3,19,22,2383.4,13.5,4,15,19,293.5,3,2,54.7,1,"D"
"60",3e+06,51,-5,1.9,28,0,0,2.9,40.9,40.6,286,6,10,5,16,47.1,8.1,996,58.8,55.8,51.3,2.8,3.7,7,154,105,73,2,5,7,122.1,152,76,24,9,67,0,0,829,789,596,562,119,110,0,1,0,1,2926,1,67.5,17.3,79.6,-9.3,0,1,1,3916,1.3,5.3,77.1,6.5,-4.8,0,7,183,14,32,46,3146.4,2.5,2,12,14,257.8,34,29,263.1,1,"D"
"61",2250000,72,8,-0.3,18,0,0,-1.6,51.5,66.6,199,1,18,9,19,44.2,8.4,1015,55.3,56.6,49.4,-1.2,2.7,3,167,105,67,1,10,11,208.7,79,106,35,18,62,0,0,996,1015,751,746,159,148,0,0,0,0,241,0.09,19.2,9.6,66.7,-14.8,0,0,0,11500,2.6,13,100.2,11.5,1.3,8,27,116,4,13,17,1898,11.5,0,4,4,38.9,32,20,238,1,"D"
"62",675000,7,-3,-1,6,0,0,-1.4,5,7.4,21,0,1,1,1,25,7.3,970,63.9,65.3,49.5,-0.5,0.4,0,28,20,11,0,1,1,25.8,1,3,1,2,12,0,0,102,106,76,78,11,21,0,0,0,0,384,0.97,74.1,34.7,68.1,-14.5,0,0,0,343,0.87,29.1,106.6,21.4,-5.8,0,0,32,1,2,3,462.3,30.8,1,1,2,69.1,0,0,6,0,"D"
"63",650000,45,-13,-5.6,6,0,0,0.9,23.3,32.2,119,0,6,4,6,31.6,7.4,963,51.9,57.9,47.3,-2.4,1.3,1,80,48,35,3,5,8,104.6,65,98,11,11,46,0,0,497,561,358,424,74,102,0,0,0,0,121,0.07,96.3,0,100,8.1,0,0,0,829,0.33,24,95.8,20,7.7,0,2,56,1,7,8,676.3,-11.5,2,1,3,80.3,3,4,11.7,1,"D"
"64",6500000,80,7,5.4,20,0,3,5.2,107.2,94.4,183,5,17,8,22,38.9,8.4,1008,54,54.9,49.6,1.9,4.6,7,209,140,99,2,5,7,184.2,27,118,51,20,92,0,0,1303,1320,983,986,215,179,5,10,2,15,14888,3.02,113,14.5,88.6,-0.2,1,1,2,13232,2.73,12.7,102.2,11.1,-3.9,6,27,219,8,46,54,3736.2,-3,8,33,41,635.7,62,20,474,12,"D"
"65",7e+06,75,4,0.6,35,1,2,5,60.1,65,200,5,15,9,20,42.6,8.9,1007,51,54.8,48.2,-2.9,4.7,11,237,161,108,3,4,7,198.8,17,97,45,19,115,0,0,1051,1130,766,765,141,135,1,6,3,7,8663,1.92,84.8,10,89.4,1.6,0,1,1,9351,2.06,9.5,114,7.7,-3.1,1,22,218,19,49,68,3906.7,28.4,2,12,14,270.6,78,9,489.1,3,"D"
"66",945000,40,-4,2.5,14,0,0,-1.1,26.1,29.7,106,0,3,2,3,16.7,5.9,986,56.5,56.9,49.8,0.4,2.3,5,88,59,45,3,3,6,61.1,43,51,17,10,44,0,0,548,553,411,398,81,77,0,0,0,0,98,0.06,76.6,25.5,75,-12.1,0,0,0,2450,1.03,10.2,110.4,8.4,-3.1,0,3,68,0,10,10,979.4,8.9,0,1,1,4.5,7,6,69.8,0,"D"
"67",1250000,73,4,-6,51,0,0,-10.2,46.3,67.4,246,6,9,4,15,41.7,7,999,48.3,55,46.7,0.5,2.8,4,151,89,72,2,1,3,100,88,69,33,14,80,0,0,912,1041,689,777,131,153,0,0,0,0,1158,0.29,66.7,4.4,93.8,5,0,0,0,8014,1.87,9.6,95.4,9.2,2.1,3,15,202,11,30,41,3505.4,1.9,0,0,0,41.9,51,31,460,3,"D"
"68",650000,2,-1,0.6,0,0,0,0.1,1.3,0.8,5,0,0,0,0,0,0,889,54.3,55.9,49.3,5.5,0,0,3,3,2,0,0,0,0,5,2,1,0,0,0,0,21,21,19,14,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"69",1850000,49,-1,-1.9,79,0,0,-10,33.1,40.3,243,1,13,5,14,46.7,7.3,990,53.2,51.7,50.7,3.5,1.7,0,106,79,52,1,1,2,118.8,103,68,22,15,49,0,0,711,690,567,540,97,114,0,0,0,0,326,0.16,39,13.3,74.6,-19.3,0,0,0,3865,1.33,13.3,81.1,14.1,-3.7,1,4,106,2,18,20,1558.5,-16.9,0,0,0,13.5,13,9,131.3,0,"D"
"70",3500000,64,0,-13.1,32,0,0,-0.8,47.1,63.9,300,2,8,5,10,29.9,7.9,1018,48,62.9,43.3,-4.7,2.2,0,150,98,62,4,1,5,124,114,86,20,3,106,1,100,830,1086,605,811,125,168,1,4,1,5,4980,1.3,68,13.1,83.9,-5.8,0,0,0,6977,1.78,17.1,98.3,14.8,-2,1,31,226,15,34,49,3783.7,-8.7,2,23,25,379.1,81,21,397.1,1,"D"
"71",5100000,82,30,6.5,51,0,0,-2.5,72.7,61.6,268,5,22,14,27,37.5,9.7,1026,58.6,49.2,54.3,6.5,5.4,7,216,147,111,3,9,12,274.5,112,82,47,30,89,0,0,1412,1190,1038,899,206,198,1,5,3,6,5605,1.2,86.2,11.3,88.4,-0.6,0,0,0,1188,0.3,21.6,57.5,27.3,12.8,0,1,136,11,26,37,2258.7,10,0,3,3,52,0,2,30.6,4,"D"
"72",4350000,51,1,-0.3,63,0,1,-0.4,38.1,46.8,190,2,4,4,6,20.7,7.7,1005,50.6,52,49.3,3.5,2.7,6,106,74,49,1,7,8,94.4,48,72,31,10,55,0,0,683,708,524,539,104,123,1,2,2,3,2719,0.91,104.3,15.4,87.2,-0.8,0,0,0,5732,1.88,12.2,83.6,12.7,-3.1,1,10,210,10,33,43,3431.5,31.9,2,2,4,67,25,15,213.7,1,"D"
