"","PLAYER","AGE","POS","DATE","LENGTH","VALUE","CAP HIT","Nat","Ht","Wt","DftYr","DftRd","Ovrl","GP","+/-","E+/-","PIM","OTG","GWG","NPD","xGF","xGA","Grit","1st","2nd","3rd","LY Salary","LY Cap Hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOI/GP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI"
"26","Matt Hendricks",36,"LW","26-Aug-17",1,"$700,000","$700,000","USA",72,209,2000,5,131,42,-3,-1.7,29,0,1,-3.1,12.5,21,148,0,2,0,"$1,850,000.00","$1,850,000.00",4,3,0,7,"58.30%","7.60%",993,"45.4","55.2","45.10%","-4.00%",3.1,11,54,45,38,2,4,"6",0,77,43,8,7,30,112,"60.90%",289,352,209,233,34,38,0,0,0,0,194,0.1,0,0,"0.00%","-90.40%",0,0,0,3804,1.51,13.2,102.8,"11.40%","-0.10%",3,8,216,15,15,30,2255.6,-37.3,0,1,1,36.9,70,18,507.5
"27","Drew Stafford",31,"RW, LW","25-Aug-17",1,"$800,000","$800,000","USA",74,214,2004,1,13,58,6,-2.3,24,0,3,-9.1,35.2,30.6,89,2,1,0,"$4,350,000.00","$4,350,000.00",5,12,8,17,"63.00%","8.70%",1028,"50.4","53.8","48.30%","0.00%",7,24,130,108,90,5,6,"11",170.1,60,41,27,11,2,7,"31.60%",579,618,429,471,96,94,3,1,1,4,4599,1.33,101.6,12.1,"89.40%","1.20%",0,0,0,702,0.24,8.3,74.6,"10.00%","-1.80%",1,1,224,41,44,85,3134.8,-30.7,12,13,25,491.5,9,10,209.7
"28","Jean-Sebastien Dea",23,"C","21-Aug-17",1,"$650,000","$650,000","CAN",71,175,2012,10,266,1,0,-0.2,2,0,0,0,0.2,0.4,5,0,0,0,"$575,000.00","$593,333.00",0,0,0,0,"0.00%","0.00%",1000,"48.9","58.5","45.50%","-3.90%",0.1,0,3,2,1,0,0,"0",0,3,2,0,0,0,1,"50.00%",9,11,5,8,1,1,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Zemgus Girgensons",23,"C, LW","17-Aug-17",2,"$3,200,000","$1,600,000","LVA",74,200,2012,1,14,75,-7,-0.5,18,0,0,7,32.2,48.8,164,0,0,1,"$1,150,000.00","$1,150,000.00",7,9,8,16,"76.20%","5.40%",989,"47.8","54.2","46.90%","-0.80%",9.2,31,174,136,103,7,12,"19",267.6,119,105,16,14,22,267,"47.40%",705,798,533,617,89,100,0,0,0,0,315,0.14,30.1,22.5,"57.10%","-29.50%",0,0,0,5188,1.15,10.4,124.3,"7.70%","-2.10%",2,4,202,24,34,58,2719.4,-43.9,2,4,6,199.4,30,13,328.2
"30","Leon Draisaitl",21,"C","16-Aug-17",8,"$68,000,000","$8,500,000","DEU",73,216,2014,1,3,82,7,12.2,20,3,5,8.8,101.9,66.1,97,4,4,5,"$925,000.00","$925,000.00",19,31,16,50,"83.30%","9.80%",1008,"57","54","51.30%","3.80%",12.7,54,180,144,103,9,10,"19",301.5,38,79,60,61,33,386,"48.70%",1132,1074,852,791,216,184,10,17,11,27,14309,2.8,109.9,12.2,"90.00%","-3.00%",0,0,0,2076,0.47,4.6,87.5,"5.00%","-8.20%",3,1,109,15,34,49,1443.2,10.3,6,5,11,247.2,0,0,3.7
"31","Matt Cullen",40,"C, LW","16-Aug-17",1,"$1,700,000","$1,000,000","USA",73,200,1996,2,35,72,4,3.3,30,0,2,-1.9,42.3,58.3,93,0,1,1,"$1,000,000.00","$1,000,000.00",9,16,8,25,"86.20%","7.90%",992,"51.2","55.5","48.00%","-2.40%",10.6,42,118,94,70,16,6,"22",182.5,31,71,23,14,17,353,"54.20%",662,714,501,506,131,110,2,2,1,4,1625,0.42,72.6,14.2,"83.70%","0.80%",2,0,2,10060,2.28,12.6,107,"10.50%","-8.60%",5,9,221,29,48,77,2580.5,7.8,1,12,13,222.2,12,7,285
"32","Brendan Gaunce",23,"LW, C","9-Aug-17",2,"$1,500,000","$750,000","CAN",74,217,2012,1,26,57,-2,-0.5,33,0,0,-5,17.8,22.6,140,0,0,0,"$832,500.00","$863,333.00",0,5,2,5,"47.60%","4.50%",984,"51.6","49.1","51.30%","5.20%",3.5,10,76,62,49,4,3,"7",82.9,91,33,6,11,11,77,"49.00%",439,417,322,318,49,57,0,0,0,0,228,0.11,40.6,20.3,"66.70%","-20.20%",0,0,0,1640,0.5,13.5,95.2,"12.40%","3.70%",0,1,20,1,0,1,219.5,-1.6,0,0,0,6.2,0,2,20.4
"33","Stephen Gionta",33,"C, RW","9-Aug-17",1,"$650,000","$650,000","USA",67,175,2002,10,266,26,9,-2.6,2,0,0,4,7.7,14.8,65,0,0,0,"$575,000.00","$575,000.00",1,5,5,6,"42.90%","13.10%",1084,"44.8","55.2","44.80%","-4.10%",1.1,6,24,17,14,0,0,"0",67.5,54,25,5,5,5,43,"47.70%",188,230,137,176,23,35,0,0,0,0,167,0.14,48.2,0,"100.00%","18.80%",0,0,0,2031,1.32,10.4,89.6,"10.40%","-3.10%",0,2,209,9,23,32,2187.7,-14.6,0,0,0,12.1,34,9,380.4
"34","Barclay Goodrow",24,"RW, C","7-Aug-17",2,"$1,300,000","$650,000","CAN",74,215,2011,10,266,3,0,-1.1,0,0,0,1,0.3,1.5,4,0,0,0,"$635,000.00","$626,667.00",0,1,0,1,"#DIV/0!","0.00%",1000,"35","61.5","36.30%","-13.50%",0.2,0,6,4,3,0,0,"0",0,3,2,1,1,1,0,"0.00%",19,33,11,23,0,3,0,0,0,0,5,0.14,0,0,"0.00%","-100.00%",0,0,0,73,0.5,0,39.8,"0.00%","0.00%",0,0,74,4,9,13,753,-15.3,0,0,0,16.8,3,0,38.4
"35","Mikael Granlund",25,"C, LW, RW","1-Aug-17",3,"$17,250,000","$5,750,000","FIN",70,184,2010,1,9,81,23,16.5,12,1,4,10,76.6,54,112,4,6,1,"$3,200,000.00","$3,000,000.00",16,29,19,45,"80.40%","10.40%",1034,"51.9","54.8","48.60%","0.50%",12.3,39,232,178,134,11,15,"26",343.7,47,111,21,36,36,13,"52.00%",1015,1074,770,795,161,92,7,13,9,20,10626,2.19,100,7.8,"92.80%","5.30%",3,1,4,7300,1.48,7,105,"6.30%","-8.10%",7,14,213,24,68,92,3095.4,1.7,4,27,31,496.8,9,0,99.2
"36","Nino Niederreiter",24,"RW","30-Jul-17",5,"$26,250,000","$5,250,000","CHE",74,211,2010,1,5,82,17,14.3,53,0,3,1.1,66.5,33.7,194,4,4,1,"$3,500,000.00","$2,666,667.00",17,26,19,43,"77.50%","10.10%",1018,"57.6","46.3","55.50%","8.30%",12.4,53,235,179,146,8,13,"21",345.6,116,98,22,31,20,0,"0.00%",1012,815,743,606,144,97,8,6,5,14,9868,2.02,100.2,6.5,"93.90%","6.20%",0,0,0,9,0.04,0,0,"0.00%","-14.90%",0,0,243,47,49,96,3109.8,15.4,10,9,19,373.2,3,1,34.3
"37","Conor Sheary",25,"LW, RW","30-Jul-17",3,"$9,000,000","$3,000,000","USA",68,175,2010,10,266,61,24,13.2,22,1,6,2.4,63.8,44.5,74,5,6,1,"$667,500.00","$667,500.00",21,27,10,48,"88.90%","10.50%",1036,"63.5","57.2","52.60%","4.00%",12.7,50,206,165,126,13,13,"26",165.8,29,87,18,24,21,0,"0.00%",898,803,684,603,173,131,2,3,1,5,6534,1.81,95.6,13,"88.00%","2.90%",0,0,0,40,0.05,0,11,"0.00%","-16.00%",0,0,44,7,3,10,386.6,15.8,0,0,0,30.2,0,0,0
"38","Ryan Johansen",24,"C, RW","28-Jul-17",8,"$64,000,000","$8,000,000","CAN",75,218,2010,1,4,82,1,5.2,60,0,3,-9.3,86.4,54.5,167,3,4,4,"$6,000,000.00","$4,000,000.00",9,28,14,37,"72.50%","7.60%",999,"65.5","50.5","56.40%","8.50%",9.9,35,186,150,105,6,7,"13",350.1,71,56,30,30,26,692,"54.00%",1279,987,972,767,155,138,4,19,10,23,14390,2.79,95.2,11,"89.60%","2.40%",1,0,1,3879,0.82,17.5,76.3,"18.70%","10.20%",4,0,244,53,71,124,3517.5,-4.2,18,50,68,666.3,9,5,193.6
"39","Connor Jones",26,"C, LW","27-Jul-17",1,"$650,000","$650,000","CAN",69,176,2009,10,266,4,1,-0.6,2,0,0,1,0.9,1.4,18,0,0,0,"$575,000.00","$575,000.00",0,0,0,0,"0.00%","5.90%",1059,"49.9","46.7","51.60%","7.10%",0,0,8,2,2,0,1,"1",0,13,4,1,1,3,8,"66.70%",37,35,24,27,2,3,0,0,0,0,0,0.02,0,0,"0.00%","-100.00%",0,0,0,107,0.46,0,32.1,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
