First Name,Last Name,End Team,Pos,GP,PPG,PPA,PPP,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPGive,PPTake,PPTOI,PPTOI/G,54TOI,54TOI/G,54TOF,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,TmPPSCF,TmPPSCA,PPSC%,PPRelSC%,PPPenT,PPPenD,PPCorsi,PPOZ%,PPRelOZ%
Matt,Stajan,CGY,C,59,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,5,0.08,3.5,0.06,303.9,5.15,1.10%,0.00%,0.00%,0.00%,2,4,33.30%,1,0,4,0,4,0,1,0,2,0,14.2,100,0,0,96.3,60,-33.8
Viktor,Stalberg,NSH,LW,25,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.8,0.03,0.9,0.04,126,5.04,0.70%,0.00%,0.00%,0.00%,0,0, ,0,0,0,1,0,1,0,0,0,1,-81,0,0,0,-120,100,6.8
Steven,Stamkos,TBL,C,82,13,12,25,11,8,4,5.2,71,35,49,18.30%,8.40%,48,1,2,8,12,2,291.1,3.55,281.9,3.44,167.5,2.04,62.70%,34.40%,37.50%,71.90%,44,36,55.00%,32,4,161,32,161,32,5,105,199,37,-0.8,84.3,1,0,79.6,96.6,7
Ryan,Stanton,VAN,D,54,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,1,0,0,0,0,1.9,0.03,3.4,0.06,240.3,4.45,1.40%,0.00%,0.00%,0.00%,,, ,0,0,2,0,2,0,1,0,1,0,14.6,100,0,0,97.3,75,-17.7
Paul,Stastny,STL,C,74,7,8,15,7,2,6,5.2,28,9,9,25.00%,15.20%,14,0,1,5,2,0,174.6,2.36,167.2,2.26,185.1,2.5,47.50%,26.90%,30.80%,57.70%,72,48,60.00%,26,0,154,20,154,20,8,65,175,20,5.4,89.7,1,0,120.6,91.1,-0.8
Alexander,Steen,STL,LW,74,8,16,24,8,12,4,5.9,61,20,46,13.10%,6.30%,80,4,0,5,8,2,244.1,3.3,241.3,3.26,116,1.57,67.50%,21.60%,43.20%,64.90%,4,1,80.00%,37,4,210,23,210,23,10,118,216,32,1.4,87.1,1,0,126.6,93.9,5.6
Lee,Stempniak,WPG,RW,71,0,1,1,0,1,0,0.9,11,3,8,0.00%,0.00%,14,0,0,4,4,0,66.4,0.93,67.9,0.96,283.1,3.99,19.40%,0.00%,25.00%,25.00%,0,5,0.00%,4,1,50,9,50,9,4,24,43,8,-0.9,84.3,0,0,95,88.5,-2.7
Derek,Stepan,NYR,C,68,3,7,10,3,2,5,3.3,25,11,17,12.00%,5.70%,20,1,1,9,5,5,181.4,2.67,180.6,2.66,136.5,2.01,57.00%,17.60%,41.20%,58.80%,76,77,49.70%,17,3,157,27,157,27,4,85,139,21,0.1,86.9,1,0,117.5,95.5,9.1
Chris,Stewart,MIN,RW,81,5,5,10,5,3,1,3.8,24,14,5,20.80%,11.60%,25,1,3,2,6,1,158,1.95,144.6,1.78,214.4,2.65,40.30%,38.50%,30.80%,69.20%,0,7,0.00%,13,5,97,27,97,27,8,40,113,32,-4.2,77.9,2,1,68.4,90.9,1.1
Jarret,Stoll,LAK,C,73,3,1,4,3,1,0,3.1,8,4,2,37.50%,21.40%,6,1,6,3,0,1,76.5,1.05,71.5,0.98,293.8,4.03,19.60%,33.30%,11.10%,44.40%,33,29,53.20%,9,0,49,11,49,11,5,32,53,8,2.1,86.9,4,0,87.8,86.4,-8.4
