PLAYER,AGE,POS,TEAM,DATE,TYPE,LENGTH,VALUE,CAP HIT
Marek Langhamer,23,G,,24-Jul-17,Standard,1,"$660,000","$660,000"
Viktor Arvidsson,24,"LW, RW",,22-Jul-17,Standard,7,"$29,750,000","$4,250,000"
David Rittich,24,G,,22-Jul-17,Standard,1,"$725,000","$725,000"
Jon Gillies,23,G,,22-Jul-17,Standard,1,"$725,000","$725,000"
Jordan Martinook,24,LW,,22-Jul-17,Standard,2,"$3,600,000","$1,800,000"
Tomas Tatar,26,"LW, RW",,21-Jul-17,Standard,4,"$21,200,000","$5,300,000"
Juuso V_lim_ki,18,D,,21-Jul-17,Entry-Level,3,"$4,050,000","$925,000"
Jordan Binnington,24,G,,21-Jul-17,Standard,1,"$660,000","$660,000"
Tyler Gaudet,24,C,,21-Jul-17,Standard,1,"$650,000","$650,000"
Ryan Dzingel,25,"C, RW",,21-Jul-17,Standard,2,"$3,600,000","$1,800,000"
Marek Mazanec,26,G,,20-Jul-17,Standard,1,"$650,000","$650,000"
Garnet Hathaway,25,RW,,20-Jul-17,Standard,1,"$650,000","$650,000"
Colton Parayko,24,D,,20-Jul-17,Standard,5,"$27,500,000","$5,500,000"
Owen Tippett,18,RW,,19-Jul-17,Entry-Level,3,"$4,975,000","$925,000"
Marcus Sorensen,25,LW,,18-Jul-17,Standard,2,"$1,400,000","$700,000"
Gabriel Bourque,26,"LW, RW",,18-Jul-17,Standard,1,"$750,000","$750,000"
Felix Girard,23,C,,18-Jul-17,Standard,1,"$650,000","$650,000"
Duncan Siemens,23,D,,18-Jul-17,Standard,1,"$750,000","$750,000"
Pontus Åberg,23,LW,,18-Jul-17,Standard,2,"$1,300,000","$650,000"
Martin Frk,23,RW,,18-Jul-17,Standard,1,"$650,000","$650,000"
Frederick Gaudreau,24,C,,17-Jul-17,Standard,3,"$2,000,000","$666,666"
Nolan Patrick,18,"C, RW",,17-Jul-17,Entry-Level,3,"$10,725,000","$925,000"
Alexandar Georgiev,21,G,,17-Jul-17,Entry-Level,3,"$2,775,000","$792,500"
Daniel Catenacci,24,C,,17-Jul-17,Standard,1,"$650,000","$650,000"
Austin Czarnik,24,C,,17-Jul-17,Standard,1,"$675,000","$675,000"
JC Lipon,24,RW,,17-Jul-17,Standard,1,"$650,000","$650,000"
Jean-Gabriel Pageau,24,C,,17-Jul-17,Standard,3,"$9,300,000","$3,100,000"
Alex Lyon,24,G,,15-Jul-17,Standard,1,"$874,125","$874,125"
Anthony Stolarz,23,G,,15-Jul-17,Standard,1,"$725,000","$725,000"
Cole Bardreau,23,C,,15-Jul-17,Standard,2,"$1,300,000","$650,000"
Nico Hischier,18,C,,15-Jul-17,Entry-Level,3,"$11,325,000","$925,000"
Dillon Simpson,24,D,,15-Jul-17,Standard,1,"$675,000","$675,000"
Cody Glass,18,C,,15-Jul-17,Entry-Level,3,"$5,325,000","$925,000"
Erik Br_nnstr_m,17,D,,15-Jul-17,Entry-Level,3,"$4,125,000","$925,000"
Nick Suzuki,17,C,,15-Jul-17,Entry-Level,3,"$4,162,500","$925,000"
Griffin Reinhart,23,D,,15-Jul-17,Standard,2,"$1,600,000","$800,000"
Brendan Leipsic,23,LW,,15-Jul-17,Standard,2,"$1,300,000","$650,000"
Martin Necas,18,C,,14-Jul-17,Entry-Level,3,"$4,387,500","$925,000"
Paul LaDue,24,D,,14-Jul-17,Standard,1,"$874,125","$874,125"
Zachary Leslie,23,D,,14-Jul-17,Standard,1,"$650,000","$650,000"
Andrew Crescenzi,24,C,,14-Jul-17,Standard,1,"$650,000","$650,000"
Kevin Gravel,25,D,,14-Jul-17,Standard,1,"$650,000","$650,000"
Kurtis MacDermid,23,D,,14-Jul-17,Standard,1,"$650,000","$650,000"
Michael Mersch,24,LW,,14-Jul-17,Standard,1,"$650,000","$650,000"
Jonny Brodzinski,24,C,,14-Jul-17,Standard,2,"$1,300,000","$650,000"
Justin Auger,23,RW,,14-Jul-17,Standard,1,"$650,000","$650,000"
Malcolm Subban,23,G,,14-Jul-17,Standard,2,"$1,300,000","$650,000"
Zane McIntyre,24,G,,14-Jul-17,Standard,2,"$1,300,000","$650,000"
Curtis Lazar,22,"C, RW",,14-Jul-17,Standard,2,"$1,900,000","$950,000"
Erik Gustafsson,25,D,,14-Jul-17,Standard,1,"$650,000","$650,000"
Michael Bournival,25,LW,,14-Jul-17,Standard,1,"$650,000","$650,000"
Filip Chytil,17,"C, LW",,14-Jul-17,Entry-Level,3,"$3,825,000","$925,000"
Ondrej Palat,26,LW,,14-Jul-17,Standard,5,"$26,500,000","$5,300,000"
Liam O'Brien,22,C,,14-Jul-17,Standard,1,"$650,000","$650,000"
Taylor Leier,23,LW,,13-Jul-17,Standard,1,"$806,558","$806,558"
Micheal Ferland,25,"LW, RW",,13-Jul-17,Standard,2,"$3,500,000","$1,750,000"
Lias Andersson,18,"C, LW",,13-Jul-17,Entry-Level,3,"$5,325,000","$925,000"
Christopher Gibson,24,G,,13-Jul-17,Standard,1,"$650,000","$650,000"
Mason Appleton,21,C,,13-Jul-17,Entry-Level,3,"$2,275,000","$741,667"
Josef Korenar,19,G,,13-Jul-17,Entry-Level,3,"$2,180,000","$726,667"
