PLAYER,AGE,POS,TEAM,DATE,TYPE,LENGTH,VALUE,CAP HIT
Cameron Gaunce,27,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Andre Benoit,33,D,,1-Jul-17,Standard,1,"$800,000","$800,000"
Brenden Kichton,25,D,,1-Jul-17,Standard,1,"$700,000","$700,000"
Jacob Josefson,26,"C, LW",,1-Jul-17,Standard,1,"$700,000","$700,000"
Mike Sislo,29,RW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Zac Rinaldo,27,"C, LW, RW",,1-Jul-17,Standard,1,"$700,000","$700,000"
Joel Hanley,26,D,,1-Jul-17,Standard,1,"$725,000","$725,000"
Nick Cousins,23,"C, LW",,1-Jul-17,Standard,2,"$2,000,000","$1,000,000"
Andrew Campbell,29,D,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Derek Grant,27,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
Turner Elson,24,LW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Colin Greening,31,LW,,1-Jul-17,Standard,1,"$750,000","$750,000"
Vincent LoVerde,28,D,,1-Jul-17,Standard,2,"$1,450,000","$725,000"
Anthony Peluso,28,RW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Luke Witkowski,27,D,,1-Jul-17,Standard,2,"$1,500,000","$750,000"
Cal Petersen,22,G,,1-Jul-17,Entry-Level,2,"$1,850,000","$925,000"
Curtis Valk,24,C,,1-Jul-17,Entry-Level,1,"$682,500","$682,500"
Michael Sgarbossa,24,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
Buddy Robinson,25,RW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Dmitry Kulikov,26,D,,1-Jul-17,Standard,3,"$13,000,000","$4,333,333"
Paul Thompson,28,RW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Stefan Matteau,23,LW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Maxime Lagac_,24,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Brad Hunt,28,D,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Chris Casto,25,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Antoine Bibeau,23,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Jarred Tinordi,25,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Michael Vecchione,24,C,,1-Jul-17,Standard,2,"$1,800,000","$900,000"
Brian Strait,29,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Karl Alzner,28,D,,1-Jul-17,Standard,5,"$23,125,000","$4,625,000"
Alex Grant,28,D,,1-Jul-17,Standard,1,"$700,000","$700,000"
Christian Folin,26,D,,1-Jul-17,Standard,1,"$850,000","$850,000"
Harri S_teri,27,G,,1-Jul-17,Standard,1,"$750,000","$750,000"
Evgeni Dadonov,28,"LW, RW",,1-Jul-17,Standard,3,"$12,000,000","$4,000,000"
Connor Brickley,25,C,,1-Jul-17,Standard,1,"$750,000","$750,000"
Brent Regner,28,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Mike McKenna,34,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Jonathan Bernier,28,G,,1-Jul-17,Standard,1,"$2,750,000","$2,750,000"
Justin Williams,35,RW,,1-Jul-17,35+,2,"$9,000,000","$4,500,000"
Paul Postma,28,D,,1-Jul-17,Standard,1,"$725,000","$725,000"
Seth Helgeson,26,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Michael Liambas,28,LW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Michael Leighton,36,G,,1-Jul-17,35+,1,"$650,000","$650,000"
Jamie McBain,29,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Mat Bodie,27,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Kevin Porter,31,C,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Marek Hrivik,25,RW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Justin Schultz,26,D,,1-Jul-17,Standard,3,"$16,500,000","$5,500,000"
Matt Taormina,30,D,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Joe Morrow,24,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Peter Holland,26,C,,1-Jul-17,Standard,2,"$1,350,000","$675,000"
Steve Mason,29,G,,1-Jul-17,Standard,2,"$8,200,000","$4,100,000"
Patrick Wiercioch,26,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Sam Gagner,27,"C, RW",,1-Jul-17,Standard,3,"$9,450,000","$3,150,000"
Michael Del Zotto,27,D,,1-Jul-17,Standard,2,"$6,000,000","$3,000,000"
Chris Thorburn,34,"RW, LW",,1-Jul-17,Standard,2,"$1,800,000","$900,000"
Beau Bennett,25,"RW, LW",,1-Jul-17,Standard,1,"$650,000","$650,000"
Chris Summers,29,D,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Matt Hunwick,32,D,,1-Jul-17,Standard,3,"$6,750,000","$2,250,000"
Corban Knight,26,C,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Brian Elliott,32,G,,1-Jul-17,Standard,2,"$5,500,000","$2,750,000"
Danny Taylor,31,G,,1-Jul-17,Standard,1,"$850,000","$850,000"
Nate Thompson,32,C,,1-Jul-17,Standard,2,"$3,300,000","$1,650,000"
Cole Schneider,26,"LW, RW",,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Ondrej Pavelec,29,G,,1-Jul-17,Standard,1,"$1,300,000","$1,300,000"
Paul Carey,28,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
Brian Gibbons,29,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
Byron Froese,26,C,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Micheal Haley,31,C,,1-Jul-17,Standard,2,"$1,650,000","$825,000"
Tyler Pitlick,25,RW,,1-Jul-17,Standard,3,"$3,000,000","$1,000,000"
Martin Hanzal,30,C,,1-Jul-17,Standard,3,"$14,250,000","$4,750,000"
David Warsofsky,27,D,,1-Jul-17,Standard,2,"$1,350,000","$675,000"
Joe Cannata,27,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Andrew Agozzino,26,LW,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Adam Wilcox,24,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Matt Tennyson,27,D,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Seth Griffith,24,"RW, C",,1-Jul-17,Standard,1,"$650,000","$650,000"
Kyle Criscuolo,25,C,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Jordan Szwarz,26,RW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Kenny Agostino,25,LW,,1-Jul-17,Standard,1,"$875,000","$875,000"
Ryan Miller,36,G,,1-Jul-17,35+,2,"$4,000,000","$2,000,000"
Cam Fowler,25,D,,1-Jul-17,Standard,8,"$52,000,000","$6,500,000"
Martin Jones,27,G,,1-Jul-17,Standard,6,"$34,500,000","$5,750,000"
Marc-Edouard Vlasic,30,D,,1-Jul-17,Standard,8,"$56,000,000","$7,000,000"
Ben Sexton,26,C,,1-Jul-17,Standard,2,"$1,450,000","$725,000"
Philip Varone,26,C,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Anders Nilsson,27,G,,1-Jul-17,Standard,2,"$5,000,000","$2,500,000"
Patrik Nemeth,25,D,,1-Jul-17,Standard,1,"$945,000","$945,000"
Oskar Sundqvist,23,C,,1-Jul-17,Standard,1,"$675,000","$675,000"
Pierre-Cedric Labrie,30,LW,,1-Jul-17,Standard,1,"$650,000","$650,000"
Dominic Moore,36,"C, LW",,1-Jul-17,35+,1,"$1,000,000","$1,000,000"
Radim Vrbata,36,RW,,1-Jul-17,35+,1,"$3,750,000","$2,500,000"
Kyle Quincey,31,D,,1-Jul-17,Standard,1,"$1,250,000","$1,250,000"
Kyle Rau,24,C,,1-Jul-17,Standard,1,"$700,000","$700,000"
Erik Burgdoerfer,28,D,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Tyler Randell,26,RW,,1-Jul-17,Standard,1,"$700,000","$700,000"
Max Reinhart,25,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
Brian Flynn,28,RW,,1-Jul-17,Standard,1,"$700,000","$700,000"
Alexander Burmistrov,25,"C, RW",,1-Jul-17,Standard,1,"$900,000","$900,000"
Dennis Robertson,26,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Jeremy Smith,28,G,,1-Jul-17,Standard,1,"$750,000","$750,000"
Matt O'Connor,25,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Josh Jooris,26,C,,1-Jul-17,Standard,1,"$775,000","$775,000"
Anton Rodin,26,RW,,30-Jun-17,Standard,1,"$700,000","$700,000"
Oleg Sosunov,19,D,,30-Jun-17,Entry-Level,3,"$2,172,200","$724,067"
Curtis McElhinney,34,G,,30-Jun-17,Standard,2,"$1,700,000","$850,000"
Garret Sparks,24,G,,30-Jun-17,Standard,2,"$1,350,000","$675,000"
Garrett Wilson,26,LW,,30-Jun-17,Standard,2,"$1,300,000","$650,000"
Alex Petrovic,25,D,,30-Jun-17,Standard,1,"$1,850,000","$1,850,000"
Reece Scarlett,24,D,,30-Jun-17,Standard,1,"$675,000","$675,000"
Chase Balisy,25,C,,30-Jun-17,Standard,1,"$650,000","$650,000"
Michael Stone,27,D,,30-Jun-17,Standard,3,"$10,500,000","$3,500,000"
Dmitry Orlov,25,D,,30-Jun-17,Standard,6,"$30,600,000","$5,100,000"
Adam Brooks,21,C,,29-Jun-17,Entry-Level,3,"$2,775,000","$759,167"
Alexander Volkov,19,C,,29-Jun-17,Entry-Level,3,"$2,775,000","$864,167"
Jordan Weal,25,LW,,29-Jun-17,Standard,2,"$3,500,000","$1,750,000"
Kris Versteeg,31,"LW, RW",,29-Jun-17,Standard,1,"$1,750,000","$1,750,000"
Chandler Stephenson,23,C,,29-Jun-17,Standard,2,"$1,300,000","$650,000"
Keith Kinkaid,27,G,,29-Jun-17,Standard,2,"$2,500,000","$1,250,000"
Magnus Paajarvi,26,LW,,29-Jun-17,Standard,1,"$800,000","$800,000"
Brendan Smith,28,D,,28-Jun-17,Standard,4,"$17,400,000","$4,350,000"
Dylan McIlrath,25,D,,28-Jun-17,Standard,2,"$1,300,000","$650,000"
Brian Lashoff,26,D,,28-Jun-17,Standard,2,"$1,300,000","$650,000"
Jaycob Megna,24,D,,28-Jun-17,Standard,2,"$1,300,000","$650,000"
Kevin Boyle,25,G,,28-Jun-17,Standard,1,"$675,000","$675,000"
Noel Acciari,25,"C, RW",,28-Jun-17,Standard,2,"$1,450,000","$725,000"
Sven Andrighetto,24,"RW, LW",,28-Jun-17,Standard,2,"$2,800,000","$1,400,000"
Chris Butler,30,D,,28-Jun-17,Standard,2,"$1,300,000","$650,000"
Cory Conacher,27,LW,,28-Jun-17,Standard,2,"$1,300,000","$650,000"
Gabriel Dumont,26,C,,28-Jun-17,Standard,2,"$1,300,000","$650,000"
Pheonix Copley,25,G,,28-Jun-17,Standard,2,"$1,300,000","$650,000"
Philip Samuelsson,25,D,,28-Jun-17,Standard,1,"$650,000","$650,000"
Brock McGinn,23,LW,,28-Jun-17,Standard,2,"$1,775,000","$887,500"
Mike Condon,27,G,,28-Jun-17,Standard,3,"$7,200,000","$2,400,000"
Jacob De La Rose,22,LW,,28-Jun-17,Standard,1,"$725,000","$725,000"
Spencer Foo,23,"RW, C",,27-Jun-17,Entry-Level,2,"$3,550,000","$925,000"
Jordan Schroeder,26,"C, RW",,27-Jun-17,Standard,2,"$1,300,000","$650,000"
Eric Gryba,29,D,,27-Jun-17,Standard,2,"$1,800,000","$900,000"
Ville Pokka,23,D,,27-Jun-17,Standard,1,"$650,000","$650,000"
Ben Street,30,C,,27-Jun-17,Standard,1,"$650,000","$650,000"
Patrick Cannone,30,C,,27-Jun-17,Standard,1,"$650,000","$650,000"
Max McCormick,25,LW,,27-Jun-17,Standard,2,"$1,300,000","$650,000"
Jake Chelios,26,D,,27-Jun-17,Standard,1,"$650,000","$650,000"
Patrick Brown,25,C,,27-Jun-17,Standard,1,"$650,000","$650,000"
Brett Connolly,25,"RW, LW",,26-Jun-17,Standard,2,"$3,000,000","$1,500,000"
Yanni Gourde,25,"C, LW",,26-Jun-17,Standard,2,"$2,000,000","$1,000,000"
Anton Forsberg,24,G,,26-Jun-17,Standard,2,"$1,500,000","$750,000"
Tomas Jurco,24,"RW, LW",,26-Jun-17,Standard,1,"$800,000","$800,000"
Taylor Fedun,29,D,,26-Jun-17,Standard,2,"$1,300,000","$650,000"
Derek Ryan,30,C,,26-Jun-17,Standard,1,"$1,425,000","$1,425,000"
Zack Kassian,26,RW,,26-Jun-17,Standard,3,"$5,850,000","$1,950,000"
Mark McNeill,24,"RW, C",,26-Jun-17,Standard,1,"$660,000","$660,000"
Esa Lindell,23,D,,26-Jun-17,Standard,2,"$4,400,000","$2,200,000"
Tom Pyatt,30,C,,26-Jun-17,Standard,2,"$2,200,000","$1,100,000"
Wade Megan,26,C,,26-Jun-17,Standard,1,"$650,000","$650,000"
Mark Alt,25,D,,26-Jun-17,Standard,1,"$650,000","$650,000"
Gustav Olofsson,22,D,,26-Jun-17,Standard,2,"$1,450,000","$725,000"
Andrej Sustr,26,D,,26-Jun-17,Standard,1,"$1,950,000","$1,950,000"
Trevor Carrick,22,D,,26-Jun-17,Standard,1,"$670,000","$670,000"
Korbinian Holzer,29,D,,25-Jun-17,Standard,2,"$1,800,000","$900,000"
Andy Andreoff,26,"LW, C",,24-Jun-17,Standard,2,"$1,355,000","$677,500"
Ben Chiarot,26,D,,24-Jun-17,Standard,2,"$2,800,000","$1,400,000"
T.J. Oshie,30,RW,,23-Jun-17,Standard,8,"$46,000,000","$5,750,000"
Kris Russell,30,D,,23-Jun-17,Standard,4,"$16,000,000","$4,000,000"
Alex Broadhurst,24,C,,23-Jun-17,Standard,1,"$650,000","$650,000"
Patrick Eaves,33,"RW, LW",,23-Jun-17,Standard,3,"$9,450,000","$3,150,000"
Frederik Tiffels,22,LW,,22-Jun-17,Entry-Level,2,"$1,850,000","$742,500"
Chad Ruhwedel,27,D,,22-Jun-17,Standard,2,"$1,300,000","$650,000"
Christian Djoos,22,D,,22-Jun-17,Standard,2,"$1,300,000","$650,000"
Deryk Engelland,35,D,,21-Jun-17,35+,1,"$2,000,000","$1,000,000"
Erik Haula,26,"C, LW",,21-Jun-17,Standard,3,"$8,250,000","$2,750,000"
Peter Budaj,34,G,,19-Jun-17,Standard,2,"$2,050,000","$1,025,000"
Joakim Ryan,24,D,,17-Jun-17,Standard,2,"$1,300,000","$650,000"
Ryan Carpenter,26,C,,17-Jun-17,Standard,2,"$1,300,000","$650,000"
Tim Heed,26,D,,17-Jun-17,Standard,2,"$1,300,000","$650,000"
Ludwig Bystrom,22,D,,17-Jun-17,Standard,1,"$650,000","$650,000"
Nicolas Kerdiles,23,LW,,17-Jun-17,Standard,1,"$650,000","$650,000"
Jujhar Khaira,22,LW,,16-Jun-17,Standard,2,"$1,350,000","$675,000"
Filip Gustavsson,19,G,,16-Jun-17,Entry-Level,3,"$2,775,000","$775,833"
Charles Hudon,22,LW,,15-Jun-17,Standard,2,"$1,300,000","$650,000"
Jonathan Drouin,22,"LW, C",,15-Jun-17,Standard,6,"$33,000,000","$5,500,000"
Teuvo Teravainen,22,"C, LW, RW",,15-Jun-17,Standard,2,"$5,720,000","$2,860,000"
Joonas Lyytinen,22,D,,15-Jun-17,Entry-Level,2,"$1,800,000","$740,000"
Erik Gudbranson,25,D,,15-Jun-17,Standard,1,"$3,500,000","$3,500,000"
Tommy Cross,27,D,,14-Jun-17,Standard,1,"$650,000","$650,000"
Matt Puempel,24,LW,,14-Jun-17,Standard,1,"$725,000","$725,000"
Marko Dano,22,"C, LW, RW",,13-Jun-17,Standard,1,"$850,000","$850,000"
Yannick Weber,28,D,,13-Jun-17,Standard,1,"$650,000","$650,000"
Linus Ullmark,23,G,,13-Jun-17,Standard,2,"$1,500,000","$750,000"
Andrew Miller,28,C,,13-Jun-17,Standard,1,"$650,000","$650,000"
Shayne Gostisbehere,24,D,,9-Jun-17,Standard,6,"$27,000,000","$4,500,000"
Joonas Korpisalo,23,G,,9-Jun-17,Standard,2,"$1,800,000","$900,000"
Dean Kukan,23,D,,9-Jun-17,Standard,1,"$700,000","$700,000"
Zac Dalpe,27,C,,9-Jun-17,Standard,2,"$1,450,000","$725,000"
Steve Bernier,32,RW,,9-Jun-17,Standard,2,"$1,300,000","$650,000"
Jan Rutta,26,D,,7-Jun-17,Entry-Level,1,"$1,350,000","$925,000"
Tyler Toffoli,25,"RW, LW",,7-Jun-17,Standard,3,"$13,800,000","$4,600,000"
Andreas Martinsen,26,C,,5-Jun-17,Standard,1,"$675,000","$675,000"
Sam Carrick,25,C,,5-Jun-17,Standard,2,"$1,300,000","$650,000"
Troy Grosenick,27,G,,5-Jun-17,Standard,2,"$1,300,000","$650,000"
Michael Spacek,20,C,,1-Jun-17,Entry-Level,3,"$2,550,000","$750,000"
Tomas Hyka,24,RW,,1-Jun-17,Entry-Level,1,"$710,000","$710,000"
Bokondji Imama,20,LW,,1-Jun-17,Entry-Level,3,"$2,120,000","$706,667"
Nathan Walker,23,LW,,1-Jun-17,Standard,2,"$1,300,000","$650,000"
