First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,SHBlkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Mark,Letestu,CBJ,C,54,1,0,1,1,0,0,0,7,2,0,14.30%,11.10%,7,4,2,1,6,145.5,2.69,147.3,2.73,186,3.44,44.20%,39,54,41.90%,2,18,20,130,4,39,49,2,21,125,14.40%,-2.82,0,0,-84.7,4.8,-3.5
Trevor,Lewis,LAK,C,73,1,0,1,1,0,0,0,9,1,2,11.10%,8.30%,2,5,4,1,2,104.1,1.43,105.4,1.44,235.6,3.23,30.90%,5,6,45.50%,1,12,11,66,3,52,46,3,9,71,11.30%,-7.2,0,0,-89.9,5.4,-0.8
John-Michael,Liles,CAR,D,57,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,3,4,0,0,1,20,0.35,18.5,0.32,181.4,3.18,9.20%,,, ,0,3,1,11,2,6,10,1,4,9,30.80%,22.97,0,0,-84.5,0,-3
Oscar,Lindberg,NYR,C,1,0,0,0,,,,0,,,,0.00%,0.00%,,,,,,0,0,,0,,0,0.00%,0,0, ,,,0,0,0,0,0,0,,,0.00%,,,,0,,
Matt,Lindblad,BOS,C/LW,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,2,0.98,2,1,10.9,5.46,15.40%,0,0, ,0,0,1,1,0,1,0,0,1,2,33.30%,15.15,0,0,-30.2,,
Petteri,Lindbohm,STL,D,23,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,1,0,0,0,0,9,0.39,9.2,0.4,131.2,5.7,6.60%,,, ,1,0,0,5,2,5,1,0,1,4,20.00%,10.24,0,0,-52.1,16.7,5.8
Elias,Lindholm,CAR,C,81,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,3.3,0.04,1.8,0.02,320.2,3.95,0.50%,0,0, ,0,0,0,2,0,2,0,0,0,2,0.00%,-12.35,0,0,-137.1,0,-4.8
Hampus,Lindholm,ANA,D,78,0,0,0,0,0,0,0,6,3,1,0.00%,0.00%,11,5,1,7,2,152.7,1.96,145.7,1.87,255.2,3.27,36.30%,,, ,0,23,30,106,18,57,59,3,35,112,23.80%,2.62,0,1,-79.9,11.1,3.4
Joakim,Lindstrom,TOR,C,53,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.6,0.01,0.6,0.01,278.7,5.26,0.20%,0,0, ,0,0,0,1,0,0,1,0,0,1,0.00%,-12.5,0,0,-120,,
Bryan,Little,WPG,C,70,1,0,1,1,0,0,0,9,2,0,11.10%,9.10%,11,1,2,2,4,142.6,2.04,139,1.99,310.6,4.44,30.90%,78,110,41.50%,1,20,16,100,9,46,54,0,17,129,11.60%,-5.38,1,1,-83.7,6.3,-0.5
Ben,Lovejoy,PIT,D,60,0,2,2,0,0,1,0,3,1,0,0.00%,0.00%,19,7,6,2,5,115.2,1.92,111.9,1.86,201.5,3.36,35.70%,,, ,2,8,15,86,4,50,47,1,16,92,14.80%,-3.85,0,1,-90.6,10.6,0.3
Keegan,Lowe,CAR,D,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,6.1,3.05,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Adam,Lowry,WPG,LW,80,1,0,1,0,0,0,0,4,2,0,25.00%,16.70%,3,3,3,1,2,50.8,0.63,45.1,0.56,452.9,5.66,9.10%,18,22,45.00%,1,3,9,28,3,13,12,1,7,31,18.40%,3.69,0,0,-55.9,32.1,26.8
Milan,Lucic,BOS,LW,81,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,1,0,1,0,4.2,0.05,3,0.04,390.6,4.82,0.80%,0,0, ,0,0,0,4,0,0,1,0,0,1,0.00%,-15.44,0,0,-100.7,80,70.8
Joffrey,Lupul,TOR,LW/RW,55,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1.9,0.03,2.1,0.04,292.6,5.32,0.70%,0,0, ,0,1,0,1,0,2,0,0,0,1,0.00%,-14.08,0,0,-112.1,0,-6.9
Olli,Maatta,PIT,D,20,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,6,5,1,3,0,47.5,2.38,45.6,2.28,64.6,3.23,41.40%,,, ,0,1,7,36,1,13,20,2,6,41,12.80%,5.07,0,1,-78.9,2.9,-1.7
Clarke,MacArthur,OTT,LW,62,0,0,0,0,0,0,0,1,0,1,0.00%,0.00%,1,0,0,1,2,21.3,0.34,24.6,0.4,320.3,5.17,7.10%,0,0, ,0,2,2,20,1,12,7,3,2,23,8.00%,-8.61,0,1,-85.3,13,4.8
Andrew,MacDonald,PHI,D,58,0,0,0,0,0,0,0,4,0,0,0.00%,0.00%,15,1,5,1,1,93.7,1.61,85.9,1.48,218.7,3.77,28.20%,,, ,1,9,11,62,4,31,39,1,9,74,10.80%,1,0,0,-86.6,8.2,3.5
Derek,MacKenzie,FLA,C,82,0,0,0,0,0,0,0,10,1,1,0.00%,0.00%,21,5,3,3,6,196.2,2.39,194.3,2.37,195.7,2.39,49.80%,120,129,48.20%,0,20,27,167,4,61,79,4,21,142,12.90%,3.14,1,2,-90.2,1.8,-11.4
Nathan,MacKinnon,COL,C,64,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,3.2,0.05,1,0.02,333.9,5.22,0.30%,0,0, ,0,0,1,0,0,0,0,0,1,0,100.00%,91.47,0,0,58.8,,
Andrew,MacWilliam,TOR,D,12,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,6,7,1,0,0,34.1,2.84,33.7,2.81,28.9,2.41,53.80%,,, ,0,4,7,31,2,10,11,3,8,24,25.00%,11.84,0,0,-78.3,2.8,-17.2
Manny,Malhotra,MTL,C,58,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%,17,4,2,4,4,138.8,2.39,140.8,2.43,160.7,2.77,46.70%,124,87,58.80%,0,14,7,99,4,46,70,2,6,105,5.40%,-10.19,0,2,-92.1,2.7,-10.7
