"","PLAYER","AGE","POS","DATE","LENGTH","VALUE","CAP HIT","Nat","Ht","Wt","DftYr","DftRd","Ovrl","GP","+/-","E+/-","PIM","OTG","GWG","NPD","xGF","xGA","Grit","1st","2nd","3rd","LY Salary","LY Cap Hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOI/GP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI"
"75","Jaycob Megna",24,"D","28-Jun-17",2,"$1,300,000","$650,000","USA",78,225,2012,7,210,1,1,-0.1,0,0,0,0.1,0.7,0.8,0,0,0,0,"$925,000.00","$786,667.00",0,0,0,0,"0.00%","16.70%",1167,"55","66.9","45.10%","4.40%",0,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,"0.00%",13,16,7,14,2,4,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,59,0.98,0,61.2,"0.00%","-20.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Chris Butler",30,"D","28-Jun-17",2,"$1,300,000","$650,000","USA",73,196,2005,4,96,1,0,-0.6,0,0,0,0.1,0.3,1.1,2,0,0,0,"$600,000.00","$600,000.00",0,0,0,0,"0.00%","20.00%",1117,"39.3","67.5","36.80%","-8.80%",0,0,3,1,1,0,0,"0",0,0,1,1,0,2,0,"0.00%",12,21,7,18,0,4,0,0,0,0,17,0.58,0,0,"0.00%","-93.80%",0,0,0,95,1.6,0,37.2,"0.00%","0.00%",0,0,120,4,19,23,2003.5,-39.5,0,0,0,40.8,24,10,232.9
"77","Eric Gryba",29,"D","27-Jun-17",2,"$1,800,000","$900,000","CAN",76,225,2006,3,68,40,-5,-2.5,65,0,2,-11.1,25.5,32.5,262,1,0,1,"$950,000.00","$950,000.00",2,4,3,6,"35.30%","5.50%",982,"57.5","52.7","52.20%","3.80%",2.1,7,101,64,45,1,3,"4",98.9,131,50,20,5,38,0,"0.00%",564,518,407,390,88,95,0,0,0,0,48,0.03,0,0,"0.00%","-87.90%",0,0,0,3146,1.33,6.7,92.3,"6.80%","-5.20%",1,5,185,3,25,28,2614.1,-6.2,0,0,0,11.8,42,62,484
"78","Taylor Fedun",29,"D","26-Jun-17",2,"$1,300,000","$650,000","CAN",73,198,2006,10,266,27,3,0,16,0,0,-4.9,15.2,13.3,43,0,1,1,"$600,000.00","$600,000.00",0,4,2,4,"33.30%","7.80%",1024,"56.4","49","53.50%","6.10%",0.7,0,37,26,19,0,3,"3",50.6,7,23,9,5,20,0,"0.00%",305,263,217,201,29,40,0,3,0,3,1950,1.28,78.3,10.2,"88.50%","-2.80%",0,0,0,9,0.04,0,0,"0.00%","-10.00%",0,0,12,2,3,5,166.6,-33,0,2,2,11.1,1,0,6.8
"79","Esa Lindell",23,"D","26-Jun-17",2,"$4,400,000","$2,200,000","FIN",75,215,2012,3,74,73,8,-4.1,22,1,2,4.5,67.9,84,234,1,1,3,"$802,500.00","$745,833.00",6,10,4,16,"30.80%","8.30%",1014,"55.1","57.9","48.80%","-2.20%",3.4,6,176,116,80,4,7,"11",92.9,87,95,42,27,100,0,"0.00%",1210,1275,876,927,173,198,0,2,1,2,4563,1.06,80.3,12.4,"86.60%","-4.60%",0,0,0,8879,1.99,14.6,96.4,"13.20%","1.40%",3,13,4,0,0,0,55.6,3.2,0,0,0,0,0,0,1.7
"80","Gustav Olofsson",22,"D","26-Jun-17",2,"$1,450,000","$725,000","SWE",75,195,2013,2,46,13,-1,1.8,2,0,0,-0.1,10.2,5.6,28,0,0,1,"$925,000.00","$795,000.00",0,2,0,2,"33.30%","7.30%",977,"51.8","61.7","45.70%","-2.50%",0.4,1,20,12,6,1,1,"2",0,10,16,1,3,15,0,"0.00%",141,168,109,108,26,19,0,1,0,1,504,0.67,122,13.6,"90.00%","4.60%",0,0,0,47,0.12,0,0,"0.00%","-25.90%",0,0,2,0,0,0,18.6,-6.5,0,0,0,0,0,0,0
"81","Andrej Sustr",26,"D","26-Jun-17",1,"$1,950,000","$1,950,000","CZE",79,220,2009,10,266,80,-10,-4.8,43,0,1,-12.9,46.6,64.8,191,1,0,0,"$1,600,000.00","$1,450,000.00",3,11,5,14,"37.80%","6.30%",986,"52.7","54.9","49.00%","0.20%",3.3,6,159,115,89,2,6,"8",144.5,41,97,40,13,70,0,"0.00%",1068,1115,817,846,108,127,0,0,0,0,431,0.11,23,17.9,"56.20%","-34.50%",0,0,0,10012,2.13,9.1,97,"8.60%","-2.20%",5,30,192,5,34,39,2903.7,2.2,0,1,1,17.7,28,8,295.7
"82","Korbinian Holzer",29,"D","25-Jun-17",2,"$1,800,000","$900,000","DEU",75,215,2006,4,111,32,0,-2.9,23,0,0,-3,13.6,17.2,129,0,0,2,"$700,000.00","$700,000.00",2,5,2,7,"50.00%","9.60%",1024,"40.1","59","40.50%","-7.80%",0.9,3,36,23,14,1,1,"2",38.6,65,47,10,1,30,0,"0.00%",269,395,206,288,39,41,0,0,0,0,64,0.05,0,0,"0.00%","-85.70%",0,0,0,1651,0.92,21,73.4,"22.30%","6.80%",2,4,63,0,9,9,892.7,-12.4,0,0,0,2.6,12,15,113.3
"83","Ben Chiarot",26,"D","24-Jun-17",2,"$2,800,000","$1,400,000","CAN",75,219,2009,4,120,59,2,-3.3,33,0,0,-8.2,31.3,45.5,206,0,0,0,"$850,000.00","$850,000.00",2,10,3,12,"42.90%","8.50%",1009,"47.3","57.6","45.10%","-2.50%",1.8,6,97,56,45,0,2,"2",65,69,111,37,12,72,0,"0.00%",612,742,445,552,100,114,0,0,0,0,101,0.04,133.1,33.3,"80.00%","-3.70%",0,0,0,6985,1.98,13.1,92.6,"12.40%","0.00%",1,19,111,3,15,18,1616.3,-28,0,0,0,6.1,23,9,80
"84","Kris Russell",30,"D","23-Jun-17",4,"$16,000,000","$4,000,000","CAN",70,170,2005,3,67,68,5,-2.9,23,0,1,8.4,54.9,75,304,1,1,1,"$3,100,000.00","$3,100,000.00",1,11,2,12,"28.90%","7.60%",1014,"50.1","57.9","46.40%","-2.40%",3.2,6,148,95,63,3,11,"14",49,63,100,48,34,165,0,"0.00%",1018,1174,760,788,173,166,0,1,0,1,1192,0.35,65.9,10.1,"86.70%","-4.00%",0,0,0,9435,2.25,12.6,109.8,"10.30%","-1.40%",2,35,209,8,43,51,4044.8,-42.2,7,23,30,484.6,59,8,274.2
"85","Chad Ruhwedel",27,"D","22-Jun-17",2,"$1,300,000","$650,000","USA",71,191,2008,10,266,34,9,0.1,8,0,0,0,26.5,30.3,70,0,1,0,"$575,000.00","$575,000.00",2,5,4,7,"30.40%","8.80%",1027,"54.4","57.5","48.60%","-1.00%",1.6,3,82,53,36,0,4,"4",80,35,58,11,9,24,0,"0.00%",461,489,344,356,73,80,0,3,2,3,1927,1,79.5,10.4,"88.50%","3.50%",0,0,0,2308,1.18,11.7,82.2,"12.50%","3.40%",0,2,26,0,1,1,395.6,-44.2,0,1,1,19.3,2,2,24.7
"86","Deryk Engelland",35,"D","21-Jun-17",1,"$2,000,000","$1,000,000","CAN",74,214,2000,6,194,81,2,-11.7,85,0,2,-2.1,42.4,79.1,363,0,1,3,"$2,750,000.00","$2,916,667.00",4,12,6,16,"40.00%","7.80%",1004,"48.5","55.6","46.60%","-2.30%",3.7,3,207,133,101,2,8,"10",145.4,129,111,40,14,95,1,"100.00%",977,1119,718,834,118,166,0,0,0,0,125,0.07,16.7,16.7,"50.00%","-37.00%",0,0,0,15674,3.09,12.5,92.8,"11.90%","-6.30%",5,38,201,11,21,32,2666.9,-45.1,0,1,1,17.9,31,9,196.5
"87","Tim Heed",26,"D","17-Jun-17",2,"$1,300,000","$650,000","SWE",71,165,2010,5,132,1,0,0.2,0,0,0,0.1,0.7,0.3,2,0,0,0,"$775,000.00","$775,000.00",0,0,0,0,"0.00%","0.00%",1000,"54.8","34.6","61.30%","18.30%",0,0,4,1,1,0,0,"0",0,0,1,0,1,2,0,"0.00%",14,9,9,6,2,1,0,0,0,0,51,0.85,70.6,70.6,"50.00%","-50.00%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Erik Gudbranson",25,"D","15-Jun-17",1,"$3,500,000","$3,500,000","CAN",77,220,2010,1,3,30,-14,-5.3,18,0,1,2.7,22,33.6,130,0,0,1,"$3,500,000.00","$3,500,000.00",1,5,5,6,"42.90%","5.90%",957,"50.2","54.6","47.90%","0.70%",1.2,2,77,45,31,1,4,"5",153,64,65,19,3,32,0,"0.00%",438,473,322,364,76,90,0,0,0,0,389,0.26,54.6,44,"55.40%","-25.70%",0,0,0,4787,2.61,9.7,87.2,"10.00%","-7.80%",0,12,205,9,17,26,3182.3,-6.9,0,5,5,131.6,53,39,491.2
"89","Yannick Weber",28,"D","13-Jun-17",1,"$650,000","$650,000","CHE",71,200,2007,3,73,73,1,-4.1,25,0,1,-4.7,30.3,35.8,151,0,0,0,"$575,000.00","$575,000.00",1,7,5,8,"23.50%","8.30%",1001,"53.3","57.7","48.00%","-2.00%",2.4,2,145,93,70,2,3,"5",109.4,71,93,26,9,51,0,"0.00%",746,808,544,592,83,107,0,0,0,0,718,0.17,51.5,23.4,"68.80%","-18.50%",0,0,0,805,0.21,11.6,62.1,"15.80%","4.70%",0,0,159,9,11,20,2143.7,-4,8,10,18,257.5,2,7,86.2
"90","Shayne Gostisbehere",24,"D","9-Jun-17",6,"$27,000,000","$4,500,000","USA",71,180,2012,3,78,76,-21,4.9,32,0,1,9.2,99.7,56,169,2,2,0,"$925,000.00","$925,000.00",5,11,1,16,"57.10%","4.80%",964,"59.6","53.1","52.90%","3.90%",5.1,8,257,179,117,2,9,"11",40.3,37,50,49,15,78,0,"0.00%",1127,1003,838,755,165,181,2,21,13,23,17458,3.65,126.8,12.9,"90.70%","5.60%",0,0,0,328,0.11,15.9,23.8,"40.00%","31.70%",0,1,66,9,15,24,973.7,-38.3,8,14,22,251.7,0,0,5
